"","loc_id","Protein.names","uniprot_accession.y","Gene.Names","Organism","...1.x","sample","count","...1.y","tissue","treatment","day"
"1","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T001F",0,"T001F","F","control",0
"2","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T001FX",0,"T001FX","X","control",0
"3","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T001G",0,"T001G","G","control",0
"4","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T002F",0,"T002F","F","control",0
"5","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T002FX",7,"T002FX","X","control",0
"6","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T002G",0,"T002G","G","control",0
"7","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T003F",0,"T003F","F","control",0
"8","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T003FX",0,"T003FX","X","control",0
"9","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T003G",0,"T003G","G","control",0
"10","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T004F",0,"T004F","F","control",0
"11","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T004FX",2,"T004FX","X","control",0
"12","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T004G",0,"T004G","G","control",0
"13","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T005F",0,"T005F","F","control",0
"14","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T005FX",0,"T005FX","X","control",0
"15","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T005G",0,"T005G","G","control",0
"16","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T006F",0,"T006F","F","control",0
"17","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T006FX",0,"T006FX","X","control",0
"18","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T006G",0,"T006G","G","control",0
"19","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T007F",0,"T007F","F","control",0
"20","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T007FX",0,"T007FX","X","control",0
"21","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T007G",0,"T007G","G","control",0
"22","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T008F",0,"T008F","F","control",0
"23","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T008FX",0,"T008FX","X","control",0
"24","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T008G",0,"T008G","G","control",0
"25","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T009F",0,"T009F","F","control",0
"26","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T009FX",2,"T009FX","X","control",0
"27","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T009G",0,"T009G","G","control",0
"28","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T010F",0,"T010F","F","control",0
"29","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T010FX",0,"T010FX","X","control",0
"30","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T010G",0,"T010G","G","control",0
"31","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T011F",0,"T011F","F","control",0
"32","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T011FX",0,"T011FX","X","control",0
"33","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T011G",0,"T011G","G","control",0
"34","LOC134704801","Byssal peroxidase-like protein 1","A0A193DUA0",NA,"Mytilus coruscus (Sea mussel)","gene-LOC134704801|LOC134704801","T012F",0,"T012F","F","control",0
