"UniProt_ID","Summary"
"Q5ZJU3","(Human ortholog description) The protein encoded by this gene is involved in the synthesis of asparagine. This gene complements a mutation in the temperature-sensitive hamster mutant ts11, which blocks progression through the G1 phase of the cell cycle at nonpermissive temperature. Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, May 2010]"
"Q5RAE3","(Human ortholog description) Enables several functions, including neutral L-amino acid transmembrane transporter activity; protein heterodimerization activity; and secondary active transmembrane transporter activity. Involved in L-alanine import across plasma membrane; L-leucine import across plasma membrane; and thyroid hormone transport. Located in basolateral plasma membrane and microvillus membrane. [provided by Alliance of Genome Resources, Mar 2025]"
"Q01650","Enables L-amino acid transmembrane transporter activity and secondary active transmembrane transporter activity. Involved in carboxylic acid transport; thyroid hormone transport; and xenobiotic transport. Located in several cellular components, including apical plasma membrane; cytosol; and microvillus membrane. Part of amino acid transport complex. Implicated in cholangiocarcinoma; colon cancer; hepatocellular carcinoma; and lung squamous cell carcinoma. Biomarker of esophagitis; gastrointestinal system cancer (multiple); malignant astrocytoma (multiple); and respiratory system cancer (multiple). [provided by Alliance of Genome Resources, Mar 2025]"
"Q15822","Neuronal acetylcholine receptors are homo- or heteropentameric complexes composed of homologous alpha and beta subunits. They belong to a superfamily of ligand-gated ion channels which allow the flow of sodium and potassium across the plasma membrane in response to ligands such as acetylcholine and nicotine. This gene encodes one of several beta subunits. Mutations in this gene are associated with autosomal dominant nocturnal frontal lobe epilepsy. [provided by RefSeq, Jul 2008]"
"Q8BL74","Predicted to contribute to DNA binding activity. Predicted to be involved in transcription by RNA polymerase III. Predicted to be located in nucleoplasm. Predicted to be part of transcription factor TFIIIC complex. Is expressed in several structures, including alimentary system; integumental system; nervous system; respiratory system; and sensory organ. Orthologous to human GTF3C2 (general transcription factor IIIC subunit 2). [provided by Alliance of Genome Resources, Mar 2025]"
"Q0VA61","Predicted to enable ATP binding activity and ATP-dependent protein folding chaperone. Predicted to be located in endoplasmic reticulum lumen. Human ortholog(s) of this gene implicated in immunodeficiency 59. Orthologous to human HYOU1 (hypoxia up-regulated 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5ZL72","heat shock protein family D (Hsp60) member 1, This gene encodes a member of the chaperonin family. The encoded mitochondrial protein may function as a signaling molecule in the innate immune system. This protein is essential for the folding and assembly of newly imported proteins in the mitochondria. This gene is adjacent to a related family member and the region between the 2 genes functions as a bidirectional promoter. Several pseudogenes have been associated with this gene. Two transcript variants encoding the same protein have been identified for this gene. Mutations associated with this gene cause autosomal recessive spastic paraplegia 13. [provided by RefSeq, Jun 2010]"
"Q9P2J5","This gene encodes a subunit of the elongation factor-1 complex, which is responsible for the enzymatic delivery of aminoacyl tRNAs to the ribosome. This subunit contains an N-terminal glutathione transferase domain, which may be involved in regulating the assembly of multisubunit complexes containing this elongation factor and aminoacyl-tRNA synthetases. [provided by RefSeq, Jul 2008]"
"P26636","seryl-tRNA synthetase 1, This gene belongs to the class II amino-acyl tRNA family. The encoded enzyme catalyzes the transfer of L-serine to tRNA (Ser) and is related to bacterial and yeast counterparts. Multiple alternatively spliced transcript variants have been described but the biological validity of all variants is unknown. [provided by RefSeq, Jul 2010]"
"Q8K2D0","Is expressed in several structures, including cranial ganglion; foregut; lung; maturing glomerular tuft; and telencephalon ventricular layer. Orthologous to human FAM199X (family with sequence similarity 199, X-linked). [provided by Alliance of Genome Resources, Mar 2025]"
"O54862","membrane bound transcription factor peptidase, site 2, This gene encodes a intramembrane zinc metalloprotease, which is essential in development. This protease functions in the signal protein activation involved in sterol control of transcription and the ER stress response. Mutations in this gene have been associated with ichthyosis follicularis with atrichia and photophobia (IFAP syndrome); IFAP syndrome has been quantitatively linked to a reduction in cholesterol homeostasis and ER stress response.[provided by RefSeq, Aug 2009]"
"P49588","This gene encodes a translation elongation factor. The protein is a guanine nucleotide exchange factor involved in the transfer of aminoacylated tRNAs to the ribosome. Alternative splicing results in three transcript variants which differ only in the 5' UTR. [provided by RefSeq, Jul 2008]"
