"...1" "sample.1" "tissue" "treatment" "day"
"T046G" "T046G" "G" "DO" 3
"T047G" "T047G" "G" "DO" 3
"T049G" "T049G" "G" "DO" 3
"T052G" "T052G" "G" "DO" 3
"T055G" "T055G" "G" "DO" 3
"T056G" "T056G" "G" "DO" 3
"T057G" "T057G" "G" "DO" 3
"T058G" "T058G" "G" "DO" 3
"T110G" "T110G" "G" "DO" 3
"T111G" "T111G" "G" "DO" 3
"T112G" "T112G" "G" "DO" 3
"T126G" "T126G" "G" "control" 3
"T127G" "T127G" "G" "control" 3
"T128G" "T128G" "G" "control" 3
"T129G" "T129G" "G" "control" 3
"T130G" "T130G" "G" "control" 3
"T131G" "T131G" "G" "control" 3
"T132G" "T132G" "G" "control" 3
"T133G" "T133G" "G" "control" 3
"T134G" "T134G" "G" "control" 3
"T135G" "T135G" "G" "control" 3
"T136G" "T136G" "G" "control" 3
"T137G" "T137G" "G" "control" 3
