"T126F" "T126G" "T127F" "T127G" "T128F" "T128G" "T129F" "T129G" "T130F" "T130G" "T131F" "T131G" "T132F" "T132G" "T133F" "T133G" "T134F" "T134G" "T135F" "T135G" "T136F" "T136G" "T137F" "T137G"
"gene-LOC134696364|LOC134696364" 0 3 5 0 5 0 7 0 11 0 7 0 0 0 5 0 4 4 8 0 7 0 3 3
"gene-Trnam-cau-162|Trnam-cau" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134710673|LOC134710673" 3 5 1 1 1 3 1 2 1 2 1 1 1 1 14 2 2 2 1 1 1 2 3 5
"gene-LOC134721200" 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"gene-LOC134692212|LOC134692212" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-Trnar-acg-29|Trnar-acg" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134691032|LOC134691032" 0 5 0 0 0 3 0 0 0 3 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"gene-LOC134727385|LOC134727385" 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 1 2 3 0 0
"gene-LOC134714763|LOC134714763" 7 17 17 18 14 25 23 19 15 22 19 28 0 18 7 17 17 17 24 22 20 11 22 19
"gene-LOC134696626|LOC134696626" 0 0 7 6 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
"gene-LOC134681397|LOC134681397" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0
"gene-LOC134707765|LOC134707765" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134726068|LOC134726068" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134683207|LOC134683207" 15 29 29 22 22 31 22 28 10 42 21 34 8 14 12 28 14 31 26 25 23 21 19 34
"gene-LOC134707749|LOC134707749" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134717553|LOC134717553" 0 0 0 0 0 19 0 15 0 6 0 39 0 0 0 38 0 0 0 12 0 0 0 13
"gene-LOC134698306|LOC134698306" 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 1
"gene-LOC134680601|LOC134680601" 0 0 0 0 0 5 0 3 0 9 0 10 0 4 0 7 0 3 0 0 0 0 0 0
"gene-LOC134681377|LOC134681377" 0 0 0 0 0 5 0 0 12 9 0 11 0 0 0 26 0 0 4 12 12 8 0 0
"gene-LOC134691674|LOC134691674" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"gene-LOC134721843|LOC134721843" 0 17 9 10 5 10 10 22 7 7 6 19 0 10 8 9 7 14 14 4 0 11 7 15
"gene-LOC134727958|LOC134727958" 1 1 1 1 1 1 1 1 1 1 1 2 0 2 1 1 1 1 1 1 1 1 1 1
"gene-LOC134726121|LOC134726121" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134687363|LOC134687363" 0 11 0 0 0 20 0 15 0 0 7 0 0 0 8 18 10 25 0 8 11 10 0 7
"gene-LOC134719394|LOC134719394" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-Trnay-gua-56|Trnay-gua" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134691074|LOC134691074" 19 21 52 16 37 58 46 37 28 21 30 45 43 22 34 28 48 36 68 30 65 30 25 26
"gene-LOC134681459|LOC134681459" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"gene-LOC134711401|LOC134711401" 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134706433|LOC134706433" 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 3 0 0 6 0 0 0 0
"gene-LOC134725448|LOC134725448" 4 31 12 29 13 35 13 18 9 37 16 36 9 20 19 48 12 30 21 27 25 26 17 30
"gene-LOC134727259|LOC134727259" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-Trnan-guu-169|Trnan-guu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134721656|LOC134721656" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134707038|LOC134707038" 0 0 4 0 0 4 5 4 0 0 0 0 0 0 0 0 4 2 0 0 3 6 8 0
"gene-LOC134704406|LOC134704406" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene-LOC134701739|LOC134701739" 0 0 0 0 1 3 0 0 0 0 0 2 0 0 6 11 0 0 0 0 0 0 1 1
"gene-LOC134725095|LOC134725095" 179 1086 789 1004 816 1222 549 832 499 664 1142 1541 596 763 584 1376 787 1000 749 1150 548 941 475 761
"gene-LOC134686672|LOC134686672" 0 0 0 0 0 0 0 10 0 0 0 1 0 0 0 4 0 0 0 0 0 7 0 0
"gene-LOC134684765|LOC134684765" 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 2
"gene-LOC134681440|LOC134681440" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
