"sample.1" "tissue" "treatment" "day"
"T001F" "F" "control" "0"
"T002F" "F" "control" "0"
"T003F" "F" "control" "0"
"T004F" "F" "control" "0"
"T005F" "F" "control" "0"
"T006F" "F" "control" "0"
"T007F" "F" "control" "0"
"T008F" "F" "control" "0"
"T009F" "F" "control" "0"
"T010F" "F" "control" "0"
"T011F" "F" "control" "0"
"T012F" "F" "control" "0"
"T029F" "F" "OW" "3"
"T030F" "F" "OW" "3"
"T031F" "F" "OW" "3"
"T033F" "F" "OW" "3"
"T034F" "F" "OW" "3"
"T035F" "F" "OW" "3"
"T036F" "F" "OW" "3"
"T037F" "F" "OW" "3"
"T038F" "F" "OW" "3"
"T039F" "F" "OW" "3"
"T040F" "F" "OW" "3"
"T041F" "F" "OW" "3"
