Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
T001FX_S219_L001_R1_001	T001FX_S219_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2800628.0	282.8 Mbp	0.0	101.0	36.0	74.33604336239861	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T001FX_S219_L002_R1_001	T001FX_S219_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2802403.0	283 Mbp	0.0	101.0	36.0	74.89693119491902	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T001F_S100_L001_R1_001	T001F_S100_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3236647.0	326.9 Mbp	0.0	101.0	35.0	71.42843768769322	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T001F_S100_L002_R1_001	T001F_S100_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3245158.0	327.7 Mbp	0.0	101.0	35.0	72.0275527130575	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T001G_S112_L001_R1_001	T001G_S112_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3034050.0	306.4 Mbp	0.0	101.0	34.0	81.50300712682692	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T001G_S112_L002_R1_001	T001G_S112_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3045919.0	307.6 Mbp	0.0	101.0	34.0	81.66469707263265	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002FX_S220_L001_R1_001	T002FX_S220_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2578173.0	260.3 Mbp	0.0	101.0	35.0	77.96208021183702	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002FX_S220_L002_R1_001	T002FX_S220_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2594132.0	262 Mbp	0.0	101.0	35.0	78.44185417724488	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002F_S101_L001_R1_001	T002F_S101_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3379964.0	341.3 Mbp	0.0	101.0	33.0	74.3569015609078	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002F_S101_L002_R1_001	T002F_S101_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3395792.0	342.9 Mbp	0.0	101.0	33.0	74.75179263758305	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002G_S113_L001_R1_001	T002G_S113_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2314910.0	233.8 Mbp	0.0	101.0	34.0	83.38221235532495	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T002G_S113_L002_R1_001	T002G_S113_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2319878.0	234.3 Mbp	0.0	101.0	34.0	83.66864829140272	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003FX_S221_L001_R1_001	T003FX_S221_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3094711.0	312.5 Mbp	0.0	101.0	34.0	77.80070386015502	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003FX_S221_L002_R1_001	T003FX_S221_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3105930.0	313.6 Mbp	0.0	101.0	34.0	78.49476932154565	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003F_S102_L001_R1_001	T003F_S102_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2784644.0	281.2 Mbp	0.0	101.0	38.0	70.18022565308104	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003F_S102_L002_R1_001	T003F_S102_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2790267.0	281.8 Mbp	0.0	101.0	38.0	70.81570459143349	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003G_S114_L001_R1_001	T003G_S114_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2672788.0	269.9 Mbp	0.0	101.0	34.0	83.62346548615781	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T003G_S114_L002_R1_001	T003G_S114_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2669313.0	269.6 Mbp	0.0	101.0	34.0	83.96640175377057	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004FX_S222_L001_R1_001	T004FX_S222_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3424690.0	345.8 Mbp	0.0	101.0	35.0	76.96603768690008	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004FX_S222_L002_R1_001	T004FX_S222_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3436078.0	347 Mbp	0.0	101.0	35.0	77.41709143268064	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004F_S103_L001_R1_001	T004F_S103_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2704843.0	273.1 Mbp	0.0	101.0	37.0	72.79850354621503	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004F_S103_L002_R1_001	T004F_S103_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2711532.0	273.8 Mbp	0.0	101.0	37.0	73.09709525855368	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004G_S115_L001_R1_001	T004G_S115_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2256891.0	227.9 Mbp	0.0	101.0	35.0	86.03103822078776	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T004G_S115_L002_R1_001	T004G_S115_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2259890.0	228.2 Mbp	0.0	101.0	35.0	86.48394370276152	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005FX_S223_L001_R1_001	T005FX_S223_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3322874.0	335.6 Mbp	0.0	101.0	33.0	76.6499520106043	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005FX_S223_L002_R1_001	T005FX_S223_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3344247.0	337.7 Mbp	0.0	101.0	33.0	77.36848733362123	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005F_S104_L001_R1_001	T005F_S104_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2398254.0	242.2 Mbp	0.0	101.0	36.0	71.34884035422009	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005F_S104_L002_R1_001	T005F_S104_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2402777.0	242.6 Mbp	0.0	101.0	36.0	71.50100849607239	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005G_S116_L001_R1_001	T005G_S116_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3211551.0	324.3 Mbp	0.0	101.0	34.0	85.07667073600602	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T005G_S116_L002_R1_001	T005G_S116_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3231083.0	326.3 Mbp	0.0	101.0	34.0	85.23087549598888	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T006FX_S224_L001_R1_001	T006FX_S224_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3776391.0	381.4 Mbp	0.0	101.0	32.0	74.25835784017781	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T006FX_S224_L002_R1_001	T006FX_S224_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3801648.0	383.9 Mbp	0.0	101.0	32.0	74.98237919705254	101.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
T006F_S105_L001_R1_001	T006F_S105_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2772169.0	279.9 Mbp	0.0	101.0	35.0	70.82422216694994	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
T006F_S105_L002_R1_001	T006F_S105_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2782396.0	281 Mbp	0.0	101.0	35.0	71.46246283167189	101.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	fail
