MT_Pool_HQ_transcript/0	sp|D3ZHA0|FLNC_RAT	42.357	2486	1247	48	1977	8993	278	2724	0.0	1647
MT_Pool_HQ_transcript/1	sp|P16157|ANK1_HUMAN	31.783	774	524	1	6347	8668	17	786	5.29e-119	425
MT_Pool_HQ_transcript/2	sp|P10079|FBP1_STRPU	40.142	563	310	15	5669	7348	337	875	5.68e-88	317
MT_Pool_HQ_transcript/3	sp|P10079|FBP1_STRPU	40.250	559	311	15	5667	7334	337	875	2.05e-88	318
MT_Pool_HQ_transcript/4	sp|P12276|FAS_CHICK	50.457	2517	1163	29	143	7528	2	2489	0.0	2434
MT_Pool_HQ_transcript/5	sp|Q6V0I7|FAT4_HUMAN	31.424	646	407	17	3792	5684	732	1356	4.12e-81	225
MT_Pool_HQ_transcript/6	sp|Q24292|DS_DROME	25.810	802	528	22	3373	5613	542	1331	6.93e-80	221
MT_Pool_HQ_transcript/7	sp|E9Q555|RN213_MOUSE	29.436	2395	1501	65	1	6972	2872	5148	0.0	904
MT_Pool_HQ_transcript/8	sp|Q8TD57|DYH3_HUMAN	59.983	2424	910	10	265	7428	64	2463	0.0	2931
MT_Pool_HQ_transcript/10	sp|Q61292|LAMB2_MOUSE	45.951	988	490	9	578	3463	129	1098	0.0	847
MT_Pool_HQ_transcript/11	sp|A0JP85|CNOT1_XENTR	53.003	1149	447	20	2930	6268	719	1810	0.0	1117
MT_Pool_HQ_transcript/12	sp|Q8CJ40|CROCC_MOUSE	42.047	987	537	2	3264	6215	1047	2001	0.0	617
MT_Pool_HQ_transcript/13	sp|Q5TZA2|CROCC_HUMAN	43.148	2065	1059	23	158	6235	15	2003	0.0	1201
MT_Pool_HQ_transcript/14	sp|Q63170|DYH7_RAT	56.511	1267	529	8	4764	8513	1583	2844	0.0	1402
MT_Pool_HQ_transcript/15	sp|Q17LW0|MYO7A_AEDAE	67.112	1122	342	12	2734	6063	848	1954	0.0	1437
MT_Pool_HQ_transcript/16	sp|A2ASS6|TITIN_MOUSE	25.674	1262	774	23	3565	7263	6966	8092	1.78e-97	358
MT_Pool_HQ_transcript/19	sp|P57999|ZAN_RABIT	29.870	308	195	10	5318	6232	603	892	1.27e-38	143
MT_Pool_HQ_transcript/20	sp|Q9VEN1|FLNA_DROME	43.825	915	487	12	1039	3762	336	1230	0.0	726
MT_Pool_HQ_transcript/21	sp|Q2PC93|SSPO_CHICK	32.543	1518	875	50	559	4983	103	1514	0.0	713
MT_Pool_HQ_transcript/22	sp|D3YXG0|HMCN1_MOUSE	23.871	2103	1264	92	813	6809	793	2662	3.20e-72	275
MT_Pool_HQ_transcript/23	sp|Q8BTM8|FLNA_MOUSE	43.447	2228	1126	36	952	7425	479	2642	0.0	1609
MT_Pool_HQ_transcript/24	sp|Q9VEN1|FLNA_DROME	50.557	2245	1054	28	44	6730	4	2208	0.0	2169
