"gene"	"V11"	"V2.x"	"transcript"	"uniprot_accession"
"LOC134698647"	1.01e-86	"sp|Q5RA75|F135A_PONAB"	"lcl|NC_086373.1_cds_XP_063416577.1_1"	"Q5RA75"
"LOC134711854"	1.31e-45	"sp|P32240|PE2R4_MOUSE"	"lcl|NC_086373.1_cds_XP_063428863.1_3"	"P32240"
"LOC134711859"	2e-53	"sp|P35408|PE2R4_HUMAN"	"lcl|NC_086373.1_cds_XP_063428877.1_4"	"P35408"
"LOC134698678"	2.24e-31	"sp|P43252|PI2R_MOUSE"	"lcl|NC_086373.1_cds_XP_063416578.1_6"	"P43252"
"LOC134711867"	1.55e-41	"sp|Q7Z5L0|VMO1_HUMAN"	"lcl|NC_086373.1_cds_XP_063428890.1_7"	"Q7Z5L0"
"LOC134711893"	6.32e-41	"sp|Q80Z37|TOPRS_MOUSE"	"lcl|NC_086373.1_cds_XP_063428925.1_10"	"Q80Z37"
"LOC134711912"	1.99e-22	"sp|Q4UMH6|Y381_RICFE"	"lcl|NC_086373.1_cds_XP_063428961.1_13"	"Q4UMH6"
"LOC134711916"	5.74e-149	"sp|Q9VAQ5|DIM1_DROME"	"lcl|NC_086373.1_cds_XP_063428976.1_14"	"Q9VAQ5"
"LOC134711923"	4.89e-78	"sp|O95801|TTC4_HUMAN"	"lcl|NC_086373.1_cds_XP_063428988.1_15"	"O95801"
"LOC134711927"	9.49e-100	"sp|Q54TR1|CFAD_DICDI"	"lcl|NC_086373.1_cds_XP_063429014.1_17"	"Q54TR1"
"LOC134711935"	8.56e-89	"sp|P18894|OXDA_MOUSE"	"lcl|NC_086373.1_cds_XP_063429026.1_18"	"P18894"
"LOC134711955"	3.19e-91	"sp|P18894|OXDA_MOUSE"	"lcl|NC_086373.1_cds_XP_063429060.1_21"	"P18894"
"LOC134698710"	1.71e-154	"sp|P80109|PHLD_BOVIN"	"lcl|NC_086373.1_cds_XP_063416579.1_23"	"P80109"
"LOC134711965"	2.34e-120	"sp|Q2T9K2|AP2E_XENLA"	"lcl|NC_086373.1_cds_XP_063429107.1_25"	"Q2T9K2"
"LOC134698757"	0	"sp|Q96J65|MRP9_HUMAN"	"lcl|NC_086373.1_cds_XP_063416582.1_28"	"Q96J65"
"LOC134712050"	2.3e-52	"sp|Q5R413|DCP1B_PONAB"	"lcl|NC_086373.1_cds_XP_063429260.1_29"	"Q5R413"
"LOC134711978"	0	"sp|Q01815|CAC1C_MOUSE"	"lcl|NC_086373.1_cds_XP_063429116.1_30"	"Q01815"
"LOC134706174"	6.13e-50	"sp|Q9VY28|RT25_DROME"	"lcl|NC_086373.1_cds_XP_063420956.1_48"	"Q9VY28"
"LOC134712078"	2.41e-101	"sp|Q9H1K0|RBNS5_HUMAN"	"lcl|NC_086373.1_cds_XP_063429300.1_51"	"Q9H1K0"
"LOC134698876"	2.21e-29	"sp|P50392|PA24A_DANRE"	"lcl|NC_086373.1_cds_XP_063416626.1_54"	"P50392"
"LOC134706197"	6.85e-30	"sp|P50392|PA24A_DANRE"	"lcl|NC_086373.1_cds_XP_063420989.1_55"	"P50392"
"LOC134712117"	1.4e-41	"sp|A0JPI9|LR74A_RAT"	"lcl|NC_086373.1_cds_XP_063429362.1_60"	"A0JPI9"
"LOC134712142"	6.09e-54	"sp|A0JPI9|LR74A_RAT"	"lcl|NC_086373.1_cds_XP_063429426.1_64"	"A0JPI9"
"LOC134706201"	9.53e-62	"sp|P20483|MPIP_DROME"	"lcl|NC_086373.1_cds_XP_063421003.1_68"	"P20483"
"LOC134698886"	6.78e-59	"sp|P20483|MPIP_DROME"	"lcl|NC_086373.1_cds_XP_063416637.1_69"	"P20483"
"LOC134712155"	1.31e-85	"sp|G5EDF0|GRH1_CAEEL"	"lcl|NC_086373.1_cds_XP_063429464.1_70"	"G5EDF0"
"LOC134712161"	0	"sp|Q9Y263|PLAP_HUMAN"	"lcl|NC_086373.1_cds_XP_063429487.1_76"	"Q9Y263"
"LOC134712173"	7.96e-36	"sp|Q9UGU5|HMGX4_HUMAN"	"lcl|NC_086373.1_cds_XP_063429513.1_77"	"Q9UGU5"
"LOC134712178"	1.27e-89	"sp|P28827|PTPRM_HUMAN"	"lcl|NC_086373.1_cds_XP_063429549.1_79"	"P28827"
"LOC134712199"	1.24e-31	"sp|Q8CDY7|DYLT4_MOUSE"	"lcl|NC_086373.1_cds_XP_063429589.1_83"	"Q8CDY7"
"LOC134712260"	3.19e-48	"sp|H9D1R1|TXD12_EPICO"	"lcl|NC_086373.1_cds_XP_063429707.1_87"	"H9D1R1"
"LOC134712222"	0	"sp|Q9CZU3|MTREX_MOUSE"	"lcl|NC_086373.1_cds_XP_063429626.1_88"	"Q9CZU3"
