LOC_ID,metric,n_threads,n_mussel,slope_mixed,p_mixed,q_mixed,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier
LOC134728203,adhesion_kpa,136,45,26.12327251089344,0.009028453935897976,0.6232056904247762,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",70.711,0,genome_blast,TRUE,TRUE,candidate,exploratory
LOC134720932,adhesion_kpa,136,45,8.845415240378218,0.010179672585891919,0.6232056904247762,Byssal peroxidase-like protein 2,35.518,8.489999999999998e-107,genome_blast,TRUE,TRUE,candidate,exploratory
LOC134687162,adhesion_kpa,136,45,19.082448631536725,0.010744662048350031,0.6232056904247762,Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7),42.081,7.579999999999999e-46,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134686344,adhesion_kpa,136,45,29.30256751429608,0.012832954850980207,0.6232056904247762,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),62.767,0,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134706345,adhesion_kpa,136,45,23.988482994529974,0.016927093158199905,0.6232056904247762,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1),63.744,0,genome_blast,TRUE,TRUE,candidate,exploratory
LOC134725003,adhesion_kpa,136,45,12.87265625470938,0.021484033704614536,0.6232056904247762,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),34.161,1.4999999999999999e-33,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134724473,adhesion_kpa,136,45,14.044940395316848,0.0231386851902384,0.6232056904247762,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),53.269,0,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134682928,adhesion_kpa,136,45,14.146835702935281,0.027550463404346925,0.6232056904247762,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",60.054,0,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134681253,adhesion_kpa,136,45,-32.64452257111562,0.027904732407079535,0.6232056904247762,Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein),55.072,0,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134707902,adhesion_kpa,136,45,13.558219609349715,0.03243343642265024,0.6519120720952698,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",69.421,0,genome_blast,FALSE,TRUE,candidate,exploratory
LOC134685659,adhesion_kpa,136,45,25.389963349754527,0.03572033586943019,0.6527079554323154,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",62.5,0,genome_blast,TRUE,TRUE,candidate,exploratory
