LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134683070,adhesion_kpa,46,87.49897744447566,2.328953653331881e-4,0.23242957460252173,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (PP47),32.5,9.51e-50,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.2146785321467853,0.7298270172982702,NA
LOC134710839,adhesion_kpa,46,52.86771785601801,0.0050770853759245695,0.7170250879095438,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.9618038196180382,1,NA
LOC134690789,adhesion_kpa,46,-26.3604297514257,0.0053879531686697076,0.7170250879095438,Protein disulfide-isomerase A6 (EC 5.3.4.1) (Calcium-binding protein 1) (CaBP1) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7),57.882,5.479999999999999e-175,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9678032196780322,1,NA
LOC134706590,adhesion_kpa,46,54.50282792013949,0.00718951172935044,0.7170250879095438,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),74.411,3.3699999999999984e-168,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9873012698730127,1,NA
LOC134701764,adhesion_kpa,46,-65.98996555052496,0.008022645095154112,0.7170250879095438,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.992000799920008,1,NA
LOC134712429,adhesion_kpa,46,-36.915323839753704,0.008816462731269148,0.7170250879095438,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),69.143,6.910000000000001e-75,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9944005599440056,1,NA
LOC134694719,adhesion_kpa,46,29.18780569914771,0.012893231153847166,0.7170250879095438,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.9994000599940006,1,NA
LOC134728140,adhesion_kpa,46,-57.53792373438231,0.01465147371728356,0.7170250879095438,THO complex subunit 5 homolog,50.147,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9996000399960004,1,NA
LOC134704384,adhesion_kpa,46,-58.40296713864934,0.0161043143239211,0.7170250879095438,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.9999000099990001,1,NA
LOC134685157,adhesion_kpa,46,-61.5981469013296,0.016821556096091036,0.7170250879095438,Transcription initiation factor TFIID subunit 8 (TBP-associated factor 8),47.464,2.1600000000000002e-86,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9999000099990001,1,NA
