LOC_ID,protein_name,gene_set,n_samples,n_at_floor,frac_samples_at_floor,floor_flag
LOC134693266,NA,DEG_union,46,26,0.565,exclude
LOC134686933,Glutathionyl-hydroquinone reductase YqjG (GS-HQR) (EC 1.8.5.7),DEG_union,46,25,0.543,exclude
LOC134693217,NA,DEG_union,46,23,0.5,exclude
LOC134693309,Ryncolin-4,DEG_union,46,23,0.5,exclude
LOC134691537,Fibrinogen-like protein A (FREP-A),DEG_union,46,22,0.478,exclude
LOC134716805,NA,DEG_union,46,22,0.478,exclude
LOC134689618,NA,DEG_union,46,21,0.457,exclude
LOC134688483,NA,DEG_union,46,20,0.435,exclude
LOC134693421,NA,DEG_union,46,20,0.435,exclude
LOC134720570,NA,DEG_union,46,20,0.435,exclude
LOC134685333,NA,DEG_union,46,19,0.413,exclude
LOC134705588,NA,DEG_union,46,18,0.391,caution
LOC134692140,Mannose-binding protein (MBP) (Mannan-binding protein),DEG_union,46,17,0.37,caution
LOC134693655,Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-5A2) (Eukaryotic initiation factor 5A isoform 2) (eIF-4D),DEG_union,46,17,0.37,caution
LOC134723329,NA,DEG_union,46,16,0.348,caution
LOC134684199,NA,DEG_union,46,15,0.326,caution
LOC134709366,Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP),DEG_union,46,15,0.326,caution
LOC134712429,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),DEG_union,46,15,0.326,caution
LOC134721425,NA,DEG_union,46,15,0.326,caution
LOC134701443,NA,DEG_union,46,14,0.304,caution
LOC134707468,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),candidate,46,14,0.304,caution
LOC134728119,Collagen alpha-1(XXII) chain,candidate,46,14,0.304,caution
LOC134701218,NA,DEG_union,46,13,0.283,caution
LOC134681796,NA,DEG_union,46,12,0.261,caution
LOC134706234,Calpain-A (EC 3.4.22.-) (Calcium-activated neutral proteinase A) (CANP A) [Cleaved into: Calpain-A catalytic subunit],DEG_union,46,12,0.261,caution
LOC134712566,NA,DEG_union,46,12,0.261,caution
LOC134720002,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP),DEG_union,46,12,0.261,caution
LOC134690919,NA,DEG_union,46,11,0.239,caution
LOC134690918,NA,DEG_union,46,10,0.217,caution
LOC134709411,NA,DEG_union,46,10,0.217,caution
LOC134721505,NA,DEG_union,46,10,0.217,caution
LOC134683987,NA,DEG_union,46,9,0.196,ok
LOC134696580,NA,DEG_union,46,9,0.196,ok
LOC134696789,NA,DEG_union,46,9,0.196,ok
LOC134697056,Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (Monomeric carbonyl reductase 3) (Quinone reductase CBR3) (EC 1.6.5.10),DEG_union,46,9,0.196,ok
LOC134701696,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),candidate,46,9,0.196,ok
LOC134705094,NA,DEG_union,46,9,0.196,ok
LOC134725610,p53 and DNA damage-regulated protein 1,DEG_union,46,9,0.196,ok
LOC134695853,Glycine receptor subunit alpha-2,DEG_union,46,8,0.174,ok
LOC134707467,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1),candidate,46,8,0.174,ok
LOC134712233,NA,DEG_union,46,8,0.174,ok
LOC134721691,NA,DEG_union,46,8,0.174,ok
LOC134687277,Blastula protease 10 (EC 3.4.24.-),DEG_union,46,7,0.152,ok
LOC134690922,NA,DEG_union,46,7,0.152,ok
LOC134704888,NA,DEG_union,46,7,0.152,ok
LOC134707932,Uricase (EC 1.7.3.3) (Urate oxidase),DEG_union,46,7,0.152,ok
LOC134711993,Calmodulin (CaM),DEG_union,46,7,0.152,ok
LOC134714087,NA,DEG_union,46,7,0.152,ok
LOC134716071,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),DEG_union,46,7,0.152,ok
LOC134683588,NA,DEG_union,46,6,0.13,ok
LOC134691111,Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53),DEG_union,46,6,0.13,ok
LOC134694719,NA,DEG_union,46,6,0.13,ok
LOC134710855,NA,DEG_union,46,6,0.13,ok
LOC134711899,Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39) [Cleaved into: Ectonucleoside triphosphate diphosphohydrolase 1 27 kDa subunit; Ectonucleoside triphosphate diphosphohydrolase 1 54 kDa subunit],DEG_union,46,6,0.13,ok
LOC134711925,NA,DEG_union,46,6,0.13,ok
LOC134720684,"ATP-dependent DNA helicase Q4 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4) (DNA helicase, RecQ-like type 4) (RecQ4) (RTS) (RecQ protein-like 4)",DEG_union,46,6,0.13,ok
LOC134720928,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),candidate,46,6,0.13,ok
LOC134728353,Prostaglandin reductase 1 (PRG-1) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (Dithiolethione-inducible gene 1 protein) (D3T-inducible gene 1 protein) (DIG-1) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase) (EC 1.3.1.74),DEG_union,46,6,0.13,ok
LOC134683123,NA,DEG_union,46,5,0.109,ok
LOC134685612,NA,DEG_union,46,5,0.109,ok
LOC134686408,NA,DEG_union,46,5,0.109,ok
LOC134690920,NA,DEG_union,46,5,0.109,ok
LOC134690921,NA,DEG_union,46,5,0.109,ok
LOC134692961,Putative ferric-chelate reductase 1 (EC 1.-.-.-),DEG_union,46,5,0.109,ok
LOC134700327,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9),candidate,46,5,0.109,ok
LOC134700361,NA,DEG_union,46,5,0.109,ok
LOC134708127,Crystallin J1A,DEG_union,46,5,0.109,ok
LOC134710954,Caveolin-1,DEG_union,46,5,0.109,ok
LOC134720932,Byssal peroxidase-like protein 2,candidate,46,5,0.109,ok
LOC134684829,NA,DEG_union,46,4,0.087,ok
LOC134685538,Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62),DEG_union,46,4,0.087,ok
LOC134687646,NA,DEG_union,46,4,0.087,ok
LOC134690273,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),DEG_union,46,4,0.087,ok
LOC134693972,NA,DEG_union,46,4,0.087,ok
LOC134695502,NA,DEG_union,46,4,0.087,ok
LOC134697375,"Myotubularin-related protein 8 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",DEG_union,46,4,0.087,ok
LOC134722070,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)",candidate,46,4,0.087,ok
LOC134682488,Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain),candidate,46,3,0.065,ok
LOC134685262,Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase family cytosolic 1B member 1),DEG_union,46,3,0.065,ok
LOC134686547,NA,DEG_union,46,3,0.065,ok
LOC134687467,NA,DEG_union,46,3,0.065,ok
LOC134691600,Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2),DEG_union,46,3,0.065,ok
LOC134693050,NA,DEG_union,46,3,0.065,ok
LOC134693464,"Alanine--glyoxylate aminotransferase (AGT) (EC 2.6.1.44) (Serine--pyruvate aminotransferase, mitochondrial) (SPT) (EC 2.6.1.51)",DEG_union,46,3,0.065,ok
LOC134695001,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),candidate,46,3,0.065,ok
LOC134695987,von Willebrand factor A domain-containing protein 7 (Protein G7c),DEG_union,46,3,0.065,ok
LOC134696437,NA,DEG_union,46,3,0.065,ok
LOC134696788,NA,DEG_union,46,3,0.065,ok
LOC134701031,Plexin-B1,DEG_union,46,3,0.065,ok
LOC134707329,Monocarboxylate transporter 12 (MCT 12) (Creatine transporter 2) (CRT2) (Solute carrier family 16 member 12),DEG_union,46,3,0.065,ok
LOC134707971,Tyramine beta-hydroxylase (EC 1.14.17.-) (Tyramine beta-monooxygenase) (TbetaM),DEG_union,46,3,0.065,ok
LOC134709535,NA,DEG_union,46,3,0.065,ok
LOC134710979,Caveolin-1,DEG_union,46,3,0.065,ok
LOC134710999,NA,DEG_union,46,3,0.065,ok
LOC134718475,Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (EQ-BCHE) (Pseudocholinesterase),DEG_union,46,3,0.065,ok
LOC134720947,NA,DEG_union,46,3,0.065,ok
LOC134680973,Collagen alpha-6(VI) chain,candidate,46,2,0.043,ok
LOC134681735,Zinc finger HIT domain-containing protein 3 (HNF-4a coactivator) (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3),DEG_union,46,2,0.043,ok
LOC134683535,NA,DEG_union,46,2,0.043,ok
LOC134684548,"Nudix hydrolase 24, chloroplastic (AtNUDT24) (EC 3.6.1.-)",DEG_union,46,2,0.043,ok
LOC134685040,NA,DEG_union,46,2,0.043,ok
LOC134685659,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",candidate,46,2,0.043,ok
LOC134686936,Glutathionyl-hydroquinone reductase YqjG (GS-HQR) (EC 1.8.5.7),DEG_union,46,2,0.043,ok
LOC134687175,NA,DEG_union,46,2,0.043,ok
LOC134690915,NA,DEG_union,46,2,0.043,ok
LOC134692709,Transmembrane protein 185B (Protein FAM11B),DEG_union,46,2,0.043,ok
LOC134694055,NA,DEG_union,46,2,0.043,ok
LOC134695609,NA,DEG_union,46,2,0.043,ok
LOC134695638,Sodium/glucose cotransporter 4 (Na(+)/glucose cotransporter 4) (Solute carrier family 5 member 9),DEG_union,46,2,0.043,ok
LOC134697300,Byssal HSP-like protein 1,candidate,46,2,0.043,ok
LOC134697351,NA,DEG_union,46,2,0.043,ok
LOC134701377,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase),DEG_union,46,2,0.043,ok
LOC134704957,NA,DEG_union,46,2,0.043,ok
LOC134706816,NA,DEG_union,46,2,0.043,ok
LOC134709552,NA,DEG_union,46,2,0.043,ok
LOC134710004,NA,DEG_union,46,2,0.043,ok
LOC134711009,Caveolin-1,DEG_union,46,2,0.043,ok
LOC134711796,NA,DEG_union,46,2,0.043,ok
LOC134711994,Calmodulin,DEG_union,46,2,0.043,ok
LOC134712018,NA,DEG_union,46,2,0.043,ok
LOC134715973,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (Solute carrier family 7 member 8),DEG_union,46,2,0.043,ok
LOC134716384,ACDC (Byssal EP-like protein 1) (EP-protein-1),candidate,46,2,0.043,ok
LOC134718955,NA,DEG_union,46,2,0.043,ok
LOC134719016,NA,DEG_union,46,2,0.043,ok
LOC134719036,Pre-mRNA-splicing factor 18 (PRP18 homolog),DEG_union,46,2,0.043,ok
LOC134720601,"Succinate-semialdehyde dehydrogenase, mitochondrial (SSADH) (EC 1.2.1.24) (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)",DEG_union,46,2,0.043,ok
LOC134721501,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),candidate,46,2,0.043,ok
LOC134722512,Probable thiopurine S-methyltransferase (Thiopurine methyltransferase) (EC 2.1.1.67),DEG_union,46,2,0.043,ok
LOC134723522,Zonadhesin,DEG_union,46,2,0.043,ok
LOC134725161,Sodium-independent sulfate anion transporter (Kidney brain anion transporter) (KBAT) (Solute carrier family 26 member 11),DEG_union,46,2,0.043,ok
LOC134680881,BolA-like protein 2,DEG_union,46,1,0.022,ok
LOC134683257,NA,DEG_union,46,1,0.022,ok
LOC134683276,NA,DEG_union,46,1,0.022,ok
LOC134683277,NA,DEG_union,46,1,0.022,ok
LOC134683391,NA,DEG_union,46,1,0.022,ok
LOC134684307,NA,DEG_union,46,1,0.022,ok
LOC134684656,Probable transmembrane reductase CYB561D1 (EC 7.2.1.3) (Cytochrome b561 domain-containing protein 1),DEG_union,46,1,0.022,ok
LOC134685322,Cysteine and glycine-rich protein 2 (Cysteine-rich protein 2) (CRP2),DEG_union,46,1,0.022,ok
LOC134685542,NA,DEG_union,46,1,0.022,ok
LOC134686760,Allograft inflammatory factor 1-like (Ionized calcium-binding adapter molecule 2),DEG_union,46,1,0.022,ok
LOC134687117,NA,DEG_union,46,1,0.022,ok
LOC134687409,"Serine/arginine-rich splicing factor 2 (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)",DEG_union,46,1,0.022,ok
LOC134688085,Ultraviolet-B receptor UVR8 (Protein UV-B RESISTANCE 8) (RCC1 domain-containing protein UVR8),DEG_union,46,1,0.022,ok
LOC134688449,Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain],DEG_union,46,1,0.022,ok
LOC134689810,NA,DEG_union,46,1,0.022,ok
LOC134690789,Protein disulfide-isomerase A6 (EC 5.3.4.1) (Calcium-binding protein 1) (CaBP1) (Protein disulfide isomerase P5) (Thioredoxin domain-containing protein 7),DEG_union,46,1,0.022,ok
LOC134691177,NA,DEG_union,46,1,0.022,ok
LOC134691295,Bystin,DEG_union,46,1,0.022,ok
LOC134692413,Exosome complex component 10 (EC 3.1.13.-),DEG_union,46,1,0.022,ok
LOC134692698,Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; Complement C3 gamma chain],DEG_union,46,1,0.022,ok
LOC134693742,NA,DEG_union,46,1,0.022,ok
LOC134696458,NA,DEG_union,46,1,0.022,ok
LOC134697115,Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1),DEG_union,46,1,0.022,ok
LOC134697133,NA,DEG_union,46,1,0.022,ok
LOC134700975,NA,DEG_union,46,1,0.022,ok
LOC134701726,NA,DEG_union,46,1,0.022,ok
LOC134706460,NA,DEG_union,46,1,0.022,ok
LOC134706605,COMM domain-containing protein 3 (Protein Bup) (Protein PIL),DEG_union,46,1,0.022,ok
LOC134707130,Calaxin (EF-hand calcium-binding domain-containing protein 1),DEG_union,46,1,0.022,ok
LOC134707981,Tubulin alpha-2/alpha-4 chain (EC 3.6.5.-),DEG_union,46,1,0.022,ok
LOC134708383,NA,DEG_union,46,1,0.022,ok
LOC134709486,Cdc42 homolog (25 kDa GTP-binding protein),DEG_union,46,1,0.022,ok
LOC134710131,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase),DEG_union,46,1,0.022,ok
LOC134710393,Galectin-6 (Gal-6),DEG_union,46,1,0.022,ok
LOC134710779,NA,DEG_union,46,1,0.022,ok
LOC134710997,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)",candidate,46,1,0.022,ok
LOC134711740,Abscission/NoCut checkpoint regulator (ANCHR) (Zinc finger FYVE domain-containing protein 19),DEG_union,46,1,0.022,ok
LOC134711990,Calmodulin-2 (CaM 2),DEG_union,46,1,0.022,ok
LOC134712044,NA,DEG_union,46,1,0.022,ok
LOC134712188,NA,DEG_union,46,1,0.022,ok
LOC134712279,NA,DEG_union,46,1,0.022,ok
LOC134712333,NA,DEG_union,46,1,0.022,ok
LOC134712628,NA,DEG_union,46,1,0.022,ok
LOC134712862,Zinc metalloproteinase nas-30 (EC 3.4.24.-) (Nematode astacin 30),DEG_union,46,1,0.022,ok
LOC134714268,Fibrinogen-like protein 1,DEG_union,46,1,0.022,ok
LOC134714819,Sodium/calcium exchanger Calx (Na/Ca-exchange protein),DEG_union,46,1,0.022,ok
LOC134715023,NA,DEG_union,46,1,0.022,ok
LOC134715056,NA,DEG_union,46,1,0.022,ok
LOC134715513,Equilibrative nucleobase transporter 1 (Protein FOAP-13) (Solute carrier family 43 member 3),DEG_union,46,1,0.022,ok
LOC134715618,Negative elongation factor A,DEG_union,46,1,0.022,ok
LOC134715734,"Large ribosomal subunit protein mL51 (39S ribosomal protein L51, mitochondrial) (L51mt) (MRP-L51)",DEG_union,46,1,0.022,ok
LOC134715917,3'-5' exoribonuclease 1 (EC 3.1.-.-) (Histone mRNA 3'-exonuclease 1),DEG_union,46,1,0.022,ok
LOC134716099,E3 ubiquitin-protein transferase MAEA (EC 2.3.2.27) (Macrophage erythroblast attacher),DEG_union,46,1,0.022,ok
LOC134716149,Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein),DEG_union,46,1,0.022,ok
LOC134718580,Nuclear protein MDM1,DEG_union,46,1,0.022,ok
LOC134719776,NA,DEG_union,46,1,0.022,ok
LOC134720611,Cilia- and flagella-associated protein 68,DEG_union,46,1,0.022,ok
LOC134720694,DDB1- and CUL4-associated factor 11 (WD repeat-containing protein 23),DEG_union,46,1,0.022,ok
LOC134720709,Intraflagellar transport protein 46 homolog,DEG_union,46,1,0.022,ok
LOC134720952,Hemocyte protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Hemocyte transglutaminase) (TGase),DEG_union,46,1,0.022,ok
LOC134721118,DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II subunit C),DEG_union,46,1,0.022,ok
LOC134721377,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)",candidate,46,1,0.022,ok
LOC134721619,Bactericidal permeability-increasing protein (BPI) (Lipopolysaccharide-binding protein) (LBP),DEG_union,46,1,0.022,ok
LOC134724563,"Acyl carrier protein, mitochondrial (ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",DEG_union,46,1,0.022,ok
LOC134724819,NA,DEG_union,46,1,0.022,ok
LOC134724874,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7),DEG_union,46,1,0.022,ok
LOC134725212,NA,DEG_union,46,1,0.022,ok
LOC134725483,Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (CD antigen CD249),DEG_union,46,1,0.022,ok
LOC134725733,NA,DEG_union,46,1,0.022,ok
LOC134725780,NA,DEG_union,46,1,0.022,ok
LOC134728171,Frizzled-1 (Fz-1) (Xfz1),DEG_union,46,1,0.022,ok
ATP6,ATP synthase subunit a (F-ATPase protein 6),DEG_union,46,0,0,ok
CYTB,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),DEG_union,46,0,0,ok
LOC134680615,Actin-related protein 2/3 complex subunit 3-A,DEG_union,46,0,0,ok
LOC134680676,NA,DEG_union,46,0,0,ok
LOC134680830,"Serine/arginine-rich splicing factor 1 (Splicing factor, arginine/serine-rich 1)",DEG_union,46,0,0,ok
LOC134680859,Protein PIF [Cleaved into: Protein Pif97; Protein Pif80 (Aragonite-binding protein)],DEG_union,46,0,0,ok
LOC134680923,XK-related protein 6,DEG_union,46,0,0,ok
LOC134680997,Golgin subfamily A member 3 (Golgin-160) (Male-enhanced antigen 2) (MEA-2),DEG_union,46,0,0,ok
LOC134681010,Endoplasmic reticulum resident protein 29 (ERp29),DEG_union,46,0,0,ok
LOC134681012,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),DEG_union,46,0,0,ok
LOC134681023,Calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type (EC 7.2.2.10) (Calcium pump) (Sarcoplasmic/endoplasmic reticulum Ca(2+)-ATPase),DEG_union,46,0,0,ok
LOC134681027,Clathrin heavy chain 1,DEG_union,46,0,0,ok
LOC134681170,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),DEG_union,46,0,0,ok
LOC134681258,NA,DEG_union,46,0,0,ok
LOC134681276,E3 ubiquitin-protein ligase RNF10 (EC 2.3.2.27) (RING finger protein 10),DEG_union,46,0,0,ok
LOC134681291,ATPase MORC2A (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2A) (Zinc finger CW-type coiled-coil domain protein 1),DEG_union,46,0,0,ok
LOC134681402,Sin3 histone deacetylase corepressor complex component SDS3 (Suppressor of defective silencing 3 protein homolog),DEG_union,46,0,0,ok
