gene_set,metric,tier,LOC_ID,protein_name,n,p_lm,q_lm,q_family,most_influential_mussel,max_cooks_D,cook_threshold_4n,cooks_flag,slope,slope_without_mussel,p_without_mussel,slope_change_frac,influence_flag,blast_pident
candidate,max_force,primary,LOC134718614,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),45,2.45e-4,0.0616,0.115,T047,0.12,0.089,D>4/n,0.7779,0.7601,1.8e-4,0.023,robust,31.522
candidate,max_force,primary,LOC134693664,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),45,0.00406,0.51,0.68,T030,0.134,0.089,D>4/n,-0.6037,-0.6532,0.00156,0.082,robust,49.624
candidate,max_force,primary,LOC134697060,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),45,0.00883,0.673,0.683,T037,0.218,0.089,D>4/n,0.6834,0.8201,8.72e-4,0.2,robust,31.587
candidate,pad_area,primary,LOC134718612,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),45,4.59e-4,0.115,0.115,T136,0.157,0.089,D>4/n,-0.3696,-0.4243,7.55e-5,0.148,robust,32.227
candidate,pad_area,primary,LOC134697300,Byssal HSP-like protein 1,45,0.00607,0.683,0.683,T030,0.193,0.089,D>4/n,-0.2346,-0.2236,0.00583,0.047,robust,81.517
candidate,pad_area,primary,LOC134727424,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1),45,0.00832,0.683,0.683,T030,0.156,0.089,D>4/n,-0.421,-0.3433,0.0328,0.185,robust,41.071
candidate,adhesion_kpa,exploratory,LOC134718614,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),45,3.17e-5,0.00795,0.0159,T030,0.128,0.089,D>4/n,0.9663,0.8429,2.41e-4,0.128,robust,31.522
candidate,adhesion_kpa,exploratory,LOC134697060,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),45,0.00216,0.272,0.248,T037,0.181,0.089,D>4/n,0.8938,1.043,1.99e-4,0.167,robust,31.587
candidate,adhesion_kpa,exploratory,LOC134718500,"RalA-binding protein 1 (RalBP1) (Cytocentrin) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",45,0.0186,0.838,0.887,T030,0.123,0.089,D>4/n,-1.114,-1.039,0.0174,0.067,robust,50.853
candidate,max_displacement,exploratory,LOC134711730,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",45,0.00137,0.186,0.248,T133,0.866,0.089,D>4/n,-0.03698,-0.04001,5.33e-4,0.082,robust,72.864
candidate,max_displacement,exploratory,LOC134716333,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)",45,0.00233,0.186,0.248,T040,0.213,0.089,D>4/n,0.06262,0.04513,0.0348,0.279,robust,52.598
candidate,max_displacement,exploratory,LOC134707235,Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS),45,0.00277,0.186,0.248,T034,0.157,0.089,D>4/n,0.04533,0.05209,3.79e-4,0.149,robust,49.847
DEG_union,max_force,primary,LOC134706590,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),45,3.21e-5,0.032,0.064,T029,0.164,0.089,D>4/n,1.29,1.326,7.45e-6,0.028,robust,74.411
DEG_union,pad_area,primary,LOC134716885,Fibrillin-2 [Cleaved into: Placensin],45,0.00165,0.611,0.589,T030,0.165,0.089,D>4/n,-0.7332,-0.6598,0.00351,0.1,robust,47.074
DEG_union,adhesion_kpa,exploratory,LOC134683070,Lactadherin (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) (Sperm surface protein SP47) (PP47),45,2.14e-4,0.108,0.216,T030,0.135,0.089,D>4/n,1.673,1.548,2.2e-4,0.075,robust,32.5
DEG_union,max_displacement,exploratory,LOC134716071,Solute carrier family 23 member 2 (Na(+)/L-ascorbic acid transporter 2) (Sodium-dependent vitamin C transporter 2),45,0.00207,0.285,0.458,T040,0.188,0.089,D>4/n,-0.05458,-0.04164,0.0179,0.237,robust,44.87
