LOC_ID,metric,n_mussel,slope,p,q,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,tier
LOC134718614,adhesion_kpa,45,41.66112888426552,0.0014586856082026858,0.36613008765887417,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.522,3.69e-50,genome_blast,FALSE,TRUE,exploratory
LOC134701697,adhesion_kpa,45,36.62060740222475,0.013037291935788063,0.9252562828981722,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.23,6.08e-104,genome_blast,FALSE,TRUE,exploratory
LOC134707678,adhesion_kpa,45,-10.100641368057369,0.016927443880386722,0.9252562828981722,Byssal peroxidase-like protein 1,34.068,1.23e-87,genome_blast,FALSE,TRUE,exploratory
LOC134694421,adhesion_kpa,45,29.492388842554096,0.026140953469523408,0.9252562828981722,Byssal calumenin-like protein 1,95.71,0,genome_blast,FALSE,TRUE,exploratory
LOC134706747,adhesion_kpa,45,27.70665254522477,0.03090953926502737,0.9252562828981722,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),63.306,0,genome_blast,FALSE,TRUE,exploratory
LOC134697127,adhesion_kpa,45,50.29304138029322,0.03194330738634965,0.9252562828981722,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.807,1.68e-109,genome_blast,TRUE,TRUE,exploratory
LOC134711985,adhesion_kpa,45,47.93068790860889,0.04192749374085185,0.9252562828981722,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),52.72,3.4999999999999996e-88,genome_blast,TRUE,TRUE,exploratory
LOC134714403,adhesion_kpa,45,9.357855727384724,0.043757505483517055,0.9252562828981722,Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS),63.618,0,genome_blast,FALSE,TRUE,exploratory
LOC134721812,adhesion_kpa,45,40.403125882933345,0.04873357256528379,0.9252562828981722,Glutathione peroxidase (GPx) (GSHPx) (EC 1.11.1.9),42.857,7.5e-46,genome_blast,FALSE,TRUE,exploratory
LOC134724473,adhesion_kpa,45,32.49192095250474,0.049434420679201195,0.9252562828981722,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),53.269,0,genome_blast,FALSE,TRUE,exploratory
LOC134697060,adhesion_kpa,45,32.180247498412236,0.05179660698197646,0.9252562828981722,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),31.587,3.499999999999999e-107,genome_blast,FALSE,TRUE,exploratory
LOC134711163,adhesion_kpa,45,-63.79738052681697,0.06451204440411036,0.9252562828981722,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),31.496,5.17e-50,genome_blast,FALSE,TRUE,exploratory
LOC134686763,adhesion_kpa,45,25.907208431585087,0.066182206202293,0.9252562828981722,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37),57.925,6.77e-125,genome_blast,TRUE,TRUE,exploratory
LOC134695117,adhesion_kpa,45,-25.744596140889687,0.06829185936655305,0.9252562828981722,Heat shock 70 kDa protein 12B,29.751,8.77e-65,genome_blast,FALSE,TRUE,exploratory
LOC134720928,adhesion_kpa,45,17.503260933449102,0.0772144106516392,0.9252562828981722,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),49.329,0,genome_blast,TRUE,TRUE,exploratory
LOC134710209,adhesion_kpa,45,29.498780352382074,0.08279836670301012,0.9252562828981722,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),37.755,0,genome_blast,FALSE,TRUE,exploratory
LOC134725629,adhesion_kpa,45,30.7569704120593,0.08641605633870421,0.9252562828981722,Sphingosine-1-phosphate lyase 1 (S1PL) (SP-lyase 1) (SPL 1) (hSPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase),52.453,0,genome_blast,FALSE,TRUE,exploratory
LOC134688272,adhesion_kpa,45,-68.60121886947057,0.09296742526770418,0.9252562828981722,Novel acetylcholine receptor chaperone (Transmembrane protein 35A),42.063,6.640000000000001e-26,genome_blast,FALSE,TRUE,exploratory
LOC134718500,adhesion_kpa,45,-44.088399440678714,0.0945869149010144,0.9252562828981722,"RalA-binding protein 1 (RalBP1) (Cytocentrin) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",50.853,8.94e-81,genome_blast,FALSE,TRUE,exploratory
LOC134725805,adhesion_kpa,45,-24.02980460446702,0.0970428998092467,0.9252562828981722,Heat shock 70 kDa protein 12A,32.388,1.7699999999999993e-96,genome_blast,FALSE,TRUE,exploratory
LOC134692848,adhesion_kpa,45,22.090802086000743,0.09735094241057358,0.9252562828981722,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),33.494,1.9199999999999998e-95,genome_blast,FALSE,TRUE,exploratory
LOC134692100,adhesion_kpa,45,12.020556238539884,0.09936290806943039,0.9252562828981722,ACDC (Byssal EP-like protein 1) (EP-protein-1),33.862,8.24e-24,genome_blast,TRUE,TRUE,exploratory
LOC134697661,adhesion_kpa,45,25.091281624313893,0.10127262925513321,0.9252562828981722,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",64.23,0,genome_blast,FALSE,TRUE,exploratory
LOC134725758,adhesion_kpa,45,-28.39490993791104,0.10482180946384279,0.9252562828981722,Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1),76.44,9.8e-112,genome_blast,TRUE,TRUE,exploratory
LOC134710195,adhesion_kpa,45,21.853845326979233,0.10696520496549214,0.9252562828981722,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),31.962,1.97e-44,genome_blast,FALSE,TRUE,exploratory
LOC134681037,adhesion_kpa,45,16.338464922709132,0.11263463860487327,0.9252562828981722,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),45.54,7.47e-59,genome_blast,FALSE,TRUE,exploratory
LOC134712292,adhesion_kpa,45,18.734843334915084,0.11506310556992225,0.9252562828981722,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",62.391,0,genome_blast,FALSE,TRUE,exploratory
