LOC_ID,metric,n,slope_wls,p_wls,q_wls,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,tier,p_perm_metricwise,p_perm_famwise,p_perm_primary
LOC134687008,adhesion_kpa,45,37.16391361193774,0.0021184213957883215,0.3953784500058274,Eukaryotic translation initiation factor 2 subunit 3 (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma) (eIF2-gamma),85.201,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.5333466653334666,0.9843015698430156,NA
LOC134705633,adhesion_kpa,45,20.547499376423566,0.0022965792527353795,0.3953784500058274,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),62.26,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.559044095590441,0.9877012298770123,NA
LOC134706618,adhesion_kpa,45,12.43778831420582,0.0029370060582923924,0.3953784500058274,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.6313368663133687,0.9948005199480052,NA
LOC134714502,adhesion_kpa,45,45.472579080213976,0.0030413726923525183,0.3953784500058274,Protein PRRC1-A (Proline-rich and coiled-coil-containing protein 1-A),52.361,2.799999999999999e-82,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.6422357764223577,0.9958004199580042,NA
LOC134728203,adhesion_kpa,45,26.183290483787367,0.008969197923481905,0.8624825978777186,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",70.711,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9174082591740826,1,NA
LOC134695835,adhesion_kpa,45,21.498732086753098,0.012488217935540889,0.8624825978777186,Tubulin beta-4B chain (Tubulin beta-2C chain),99.535,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9641035896410359,1,NA
LOC134711077,adhesion_kpa,45,34.25204991554756,0.014355976847382875,0.8624825978777186,Homeobox protein OTX2 (Orthodenticle homolog 2),50.562,9.42e-59,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9773022697730227,1,NA
LOC134706345,adhesion_kpa,45,23.91326196731958,0.017455577082583114,0.8624825978777186,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1),63.744,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9886011398860114,1,NA
LOC134692595,adhesion_kpa,45,-40.62957143994336,0.01798867520229603,0.8624825978777186,Protein DEK,42.105,1.3e-23,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9902009799020098,1,NA
LOC134697440,adhesion_kpa,45,15.51103089363683,0.02068008272411846,0.8624825978777186,Tubulin beta-4B chain (Tubulin beta-2C chain),99.535,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9947005299470053,1,NA
LOC134711700,adhesion_kpa,45,32.25129581087024,0.023168551308369464,0.8624825978777186,"Serine/arginine-rich splicing factor 4 (Splicing factor, arginine/serine-rich 4)",65,5.55e-75,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9968003199680032,1,NA
LOC134695945,adhesion_kpa,45,25.329181193350134,0.030125277750660182,0.8624825978777186,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),61.798,8.12e-126,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9989001099890011,1,NA
LOC134724883,adhesion_kpa,45,30.768108132428612,0.030913453163915184,0.8624825978777186,Tubulin alpha-1 chain (EC 3.6.5.-),98.843,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9991000899910009,1,NA
LOC134706619,adhesion_kpa,45,12.171618709353341,0.031070417180368515,0.8624825978777186,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),62.95,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9991000899910009,1,NA
LOC134682079,adhesion_kpa,45,20.87269113764428,0.033726710609110165,0.8624825978777186,Cilia- and flagella-associated protein 100 (Coiled-coil domain-containing protein 37),53,1.6e-43,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9996000399960004,1,NA
LOC134696347,adhesion_kpa,45,21.485792539468292,0.03438445501065708,0.8624825978777186,Tubulin beta chain (Beta-tubulin),98.837,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9996000399960004,1,NA
LOC134685659,adhesion_kpa,45,25.43715235813135,0.035683004643377494,0.8624825978777186,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",62.5,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9996000399960004,1,NA
LOC134688292,adhesion_kpa,45,13.847468024973132,0.03585951571243123,0.8624825978777186,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,0.9996000399960004,1,NA
LOC134723308,adhesion_kpa,45,32.23824244738855,0.03828358685569214,0.8624825978777186,Pre-rRNA-processing protein TSR1 homolog,53.894,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9997000299970003,1,NA
LOC134725956,adhesion_kpa,45,-40.647694071406974,0.038754685629834314,0.8624825978777186,Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK),77.394,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9997000299970003,1,NA
LOC134715894,adhesion_kpa,45,22.986144825284264,0.03934898412273123,0.8624825978777186,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),60.328,7.92e-137,genome_blast,TRUE,TRUE,DEG_union,exploratory,0.9997000299970003,1,NA
LOC134712114,adhesion_kpa,45,-35.882068084093504,0.04440983260401431,0.8624825978777186,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",68.75,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134714862,adhesion_kpa,45,-27.986193917186228,0.044548002874198564,0.8624825978777186,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",38.876,3.49e-98,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134696498,adhesion_kpa,45,13.158309750323461,0.048822435787302734,0.8624825978777186,Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9),45.853,4.1599999999999985e-159,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134707080,adhesion_kpa,45,14.705806621364218,0.057180925530470446,0.8624825978777186,Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2),38.22,3.1499999999999985e-180,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134683219,adhesion_kpa,45,21.297403623987297,0.05790530181169139,0.8624825978777186,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,1,1,NA
LOC134691216,adhesion_kpa,45,15.616640706829548,0.05844831334555071,0.8624825978777186,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,1,1,NA
LOC134725135,adhesion_kpa,45,-23.980940008208325,0.058602560702697114,0.8624825978777186,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,1,1,NA
LOC134715440,adhesion_kpa,45,21.66522226754209,0.060731606684825766,0.8624825978777186,Zinc finger protein 474,53.175,9.14e-105,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134680850,adhesion_kpa,45,13.858870751957769,0.061026862551594875,0.8624825978777186,Major vault protein (MVP),75.558,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134696261,adhesion_kpa,45,25.28086258922458,0.06389596318057192,0.8624825978777186,Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4),73.718,2.26e-64,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134724522,adhesion_kpa,45,13.305945095147711,0.06397237895731761,0.8624825978777186,GTP-binding protein 1,68.603,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134683381,adhesion_kpa,45,16.980419774740543,0.0653068522723045,0.8624825978777186,NA,NA,NA,NA,NA,NA,DEG_union,exploratory,1,1,NA
LOC134714791,adhesion_kpa,45,19.16623624472513,0.06594579045485684,0.8624825978777186,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)",67.096,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134724598,adhesion_kpa,45,-28.159664850732618,0.06595634695150254,0.8624825978777186,Folliculin-interacting protein 1,39.439,1.2999999999999999e-96,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
LOC134695854,adhesion_kpa,45,15.461157122061001,0.0690901806805108,0.8624825978777186,Tubulin beta-4B chain (Tubulin beta-2C chain),99.535,0,genome_blast,TRUE,TRUE,DEG_union,exploratory,1,1,NA
