LOC_ID,metric,metric_type,tier,n,slope,p_lm,rho_partial,q_lm,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,frac_at_floor,floor_flag,byssal_structural
LOC134706345,adhesion_kpa,level,exploratory,44,26.65812795831356,0.007495441863827369,0.42607125140287255,0.3728555787122756,Glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS) (Glycyl-tRNA synthetase 1),63.744,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134686344,adhesion_kpa,level,exploratory,44,31.713130769174747,0.0075155467589085945,0.4114054290686977,0.3728555787122756,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),62.767,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134728203,adhesion_kpa,level,exploratory,44,26.47410208132729,0.007843509010839883,0.38240302702046386,0.3728555787122756,"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)",70.711,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134687162,adhesion_kpa,level,exploratory,44,19.565572786233666,0.009049385235203085,0.49417220049030136,0.3728555787122756,Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7),42.081,7.579999999999999e-46,genome_blast,FALSE,TRUE,candidate,0.4,caution,FALSE
LOC134685659,adhesion_kpa,level,exploratory,44,31.52660231926448,0.009956372627312023,0.43932571076835736,0.3728555787122756,"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS) (cLRS)",62.5,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134725003,adhesion_kpa,level,exploratory,44,14.468768537386783,0.011130017274993301,0.35701558744051215,0.3728555787122756,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1),34.161,1.4999999999999999e-33,genome_blast,FALSE,TRUE,candidate,0.311,caution,FALSE
LOC134714791,adhesion_kpa,level,exploratory,44,26.3060300255538,0.013119612979171334,0.2956537009266644,0.37672031554477686,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)",67.096,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134707902,adhesion_kpa,level,exploratory,44,15.316141247242713,0.015175318151240728,0.3974300930256427,0.3812798685499233,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",69.421,0,genome_blast,FALSE,TRUE,candidate,0.111,ok,FALSE
LOC134681253,adhesion_kpa,level,exploratory,44,-33.85820748056356,0.022755802396909355,-0.3313764468610395,0.4226433114090296,Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein) (Tat-CT2 protein),55.072,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134724473,adhesion_kpa,level,exploratory,44,13.964748925645335,0.02304385437692967,0.3772060992385055,0.4226433114090296,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),53.269,0,genome_blast,FALSE,TRUE,candidate,0.2,ok,FALSE
LOC134720932,adhesion_kpa,level,exploratory,44,8.37474560557227,0.023828959619429775,0.4177937805997074,0.4226433114090296,Byssal peroxidase-like protein 2,35.518,8.489999999999998e-107,genome_blast,TRUE,TRUE,candidate,0.4,caution,FALSE
LOC134706747,adhesion_kpa,level,exploratory,44,18.00074035164015,0.025232436502031618,0.35852101309062095,0.4226433114090296,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),63.306,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134682928,adhesion_kpa,level,exploratory,44,13.21515048351439,0.04014669890566054,0.3213986088979067,0.5844139141210589,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",60.054,0,genome_blast,FALSE,TRUE,candidate,0.089,ok,FALSE
LOC134714939,adhesion_kpa,level,exploratory,44,28.905134478412045,0.04070544675470062,0.23781887607597346,0.5844139141210589,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonine--tRNA ligase, cytoplasmic) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)",69.481,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134697661,adhesion_kpa,level,exploratory,44,14.643659784827173,0.0445874753319464,0.28855064353472726,0.5974721694480818,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",64.23,0,genome_blast,FALSE,TRUE,candidate,0.156,ok,FALSE
LOC134714868,adhesion_kpa,level,exploratory,44,-14.447732017069642,0.049609265098950056,-0.15925777854368364,0.6232163928055601,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1),39.764,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134710182,adhesion_kpa,level,exploratory,44,-16.341998289367126,0.052880555320396885,-0.243441526514805,0.6252348011411633,Sphingosine-1-phosphate phosphatase 1 (SPPase1) (Spp1) (hSPP1) (hSPPase1) (EC 3.1.3.-) (Sphingosine-1-phosphatase 1) (Sphingosine-1-phosphate phosphohydrolase 1) (SPP-1),32.949,2.25e-65,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134721921,adhesion_kpa,level,exploratory,44,-20.002126731265633,0.06735148529554098,-0.2710176385409078,0.7520915858002076,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.654,1.1099999999999999e-94,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134695612,adhesion_kpa,level,exploratory,44,24.42427406223598,0.07227315978879852,0.290388899223528,0.7645739535551843,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.968,2.7099999999999996e-118,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134721501,adhesion_kpa,level,exploratory,44,13.949864085657072,0.08287469971584462,0.3481921629001582,0.7828785243196882,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),68.142,0,genome_blast,TRUE,TRUE,candidate,0.022,ok,FALSE
LOC134721338,adhesion_kpa,level,exploratory,44,14.127879857706827,0.08487027729773154,0.25624718978979927,0.7828785243196882,Tyrosinase 2,28.932,5.969999999999999e-52,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134710805,adhesion_kpa,level,exploratory,44,28.206669102130114,0.08568819669170716,0.2549243789521215,0.7828785243196882,Tubulin-specific chaperone C (Tubulin-folding cofactor C) (CFC),41.104,1.06e-83,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134718500,adhesion_kpa,level,exploratory,44,-36.31119415453762,0.10481515988510139,-0.3104664380343854,0.79555544464215,"RalA-binding protein 1 (RalBP1) (Cytocentrin) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)",50.853,8.94e-81,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134718464,adhesion_kpa,level,exploratory,44,11.138109134071387,0.10485384764559669,0.25957635728550793,0.79555544464215,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),63.014,1.44e-58,genome_blast,FALSE,TRUE,candidate,0.089,ok,FALSE
LOC134711783,adhesion_kpa,level,exploratory,44,17.36338443058254,0.10749513659594549,0.2024233118665627,0.79555544464215,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)],55.876,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134721033,adhesion_kpa,level,exploratory,44,22.017017649555857,0.11066914186389637,0.2508074086759638,0.79555544464215,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),34.834,4.8000000000000006e-80,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134695001,adhesion_kpa,level,exploratory,44,12.597938276963147,0.12788790127113286,0.17194554368613219,0.79555544464215,DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p),66.667,4.37e-154,genome_blast,TRUE,TRUE,candidate,0.022,ok,FALSE
LOC134697127,adhesion_kpa,level,exploratory,44,-18.271247973685107,0.1281254965575284,-0.11207278965467844,0.79555544464215,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.807,1.6799999999999998e-109,genome_blast,TRUE,TRUE,candidate,0.111,ok,FALSE
LOC134715935,adhesion_kpa,level,exploratory,44,15.267085766017944,0.13019400334692383,0.230320034262432,0.79555544464215,Diamine oxidase [copper-containing] (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase),36.749,2.8799999999999997e-171,genome_blast,FALSE,TRUE,candidate,0.067,ok,FALSE
LOC134710209,adhesion_kpa,level,exploratory,44,14.7839403269529,0.14933411392492227,0.2632003839231614,0.79555544464215,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),37.755,0,genome_blast,FALSE,TRUE,candidate,0.133,ok,FALSE
LOC134706576,adhesion_kpa,level,exploratory,44,18.504975529850807,0.14951204079032024,0.10811391066137563,0.79555544464215,"60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60)",75.226,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134706577,adhesion_kpa,level,exploratory,44,16.258364846808234,0.15257226284791256,0.284335255684705,0.79555544464215,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10)",65.657,4.74e-43,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134715482,adhesion_kpa,level,exploratory,44,22.506671648038175,0.16021421598360477,0.3003556809714562,0.79555544464215,Tubulin-specific chaperone A (TCP1-chaperonin cofactor A) (Tubulin-folding cofactor A) (CFA),68.493,3.86e-27,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134715627,adhesion_kpa,level,exploratory,44,-8.638602851776643,0.16907488340675383,-0.17456270518397776,0.79555544464215,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK),37.084,0,genome_blast,FALSE,TRUE,candidate,0.244,caution,FALSE
LOC134715138,adhesion_kpa,level,exploratory,44,15.29343563694371,0.17558757421935697,0.21168007324637367,0.79555544464215,"Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9)",82.419,0,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134711376,adhesion_kpa,level,exploratory,44,-14.572545624430372,0.17968971900663264,-0.1769877680735745,0.79555544464215,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha),37.415,4.789999999999999e-110,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134694726,adhesion_kpa,level,exploratory,44,10.336553799760669,0.18501504088869586,0.25740714665735154,0.79555544464215,"Prolyl 4-hydroxylase subunit alpha-2 (4-PH alpha-2) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-2)",21.013,3.1799999999999998e-24,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134708355,adhesion_kpa,level,exploratory,44,13.994075060033294,0.18659830871601243,0.2732124734506536,0.79555544464215,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),47.404,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134684786,adhesion_kpa,level,exploratory,44,8.065844849417395,0.18709636386574846,0.17609787245777067,0.79555544464215,Tyrosinase 2,47.207,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134712215,adhesion_kpa,level,exploratory,44,-13.862304455826168,0.18716532006534975,-0.14672073951886727,0.79555544464215,Egl nine homolog 1 (EC 1.14.11.29) (Hypoxia-inducible factor prolyl hydroxylase 2) (HIF-PH2) (HIF-prolyl hydroxylase 2) (HPH-2) (Prolyl hydroxylase domain-containing protein 2) (PHD2),59.817,1.99e-96,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134707640,adhesion_kpa,level,exploratory,44,5.486181184854249,0.19235389565687136,0.10668812934037537,0.79555544464215,Peroxiredoxin-6 (EC 1.11.1.27) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.4) (Glutathione-dependent peroxiredoxin) (Lysophosphatidylcholine acyltransferase 5) (LPC acyltransferase 5) (LPCAT-5) (Lyso-PC acyltransferase 5) (EC 2.3.1.23) (Non-selenium glutathione peroxidase) (NSGPx),69.683,8.46e-108,genome_blast,FALSE,TRUE,candidate,0.311,caution,FALSE
LOC134712495,adhesion_kpa,level,exploratory,44,-8.189725314200809,0.19381719390882562,-0.2121642716105366,0.79555544464215,Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),58.414,0,genome_blast,FALSE,TRUE,candidate,0.111,ok,FALSE
LOC134697432,adhesion_kpa,level,exploratory,44,9.494918008116063,0.20747607860366002,0.23839418054746944,0.79555544464215,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)",69.4,0,genome_blast,FALSE,TRUE,candidate,0.089,ok,FALSE
LOC134711985,adhesion_kpa,level,exploratory,44,10.925452457262576,0.20917845218872558,0.16208730863193516,0.79555544464215,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),52.72,3.4999999999999996e-88,genome_blast,TRUE,TRUE,candidate,0.067,ok,FALSE
LOC134692000,adhesion_kpa,level,exploratory,44,11.007435607787595,0.21090617148029703,0.17340046592955224,0.79555544464215,"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IRS) (IleRS)",59.242,0,genome_blast,FALSE,TRUE,candidate,0.133,ok,FALSE
LOC134706748,adhesion_kpa,level,exploratory,44,8.871179450775028,0.21130169859346443,0.19755790484059094,0.79555544464215,Byssal HSP-like protein 1,98.116,0,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134683831,adhesion_kpa,level,exploratory,44,5.400408235673674,0.21139709104940746,0.16161986535056885,0.79555544464215,Byssal protein-1,42.458,9.769999999999999e-32,genome_blast,FALSE,TRUE,candidate,0,ok,TRUE
