gene_set,metric,tier,LOC_ID,protein_name,n,p_lm,q_lm,q_family,most_influential_mussel,max_cooks_D,cook_threshold_4n,cooks_flag,slope,slope_without_mussel,p_without_mussel,slope_change_frac,influence_flag,blast_pident
candidate,max_force,primary,LOC134716333,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)",44,0.00638,0.756,0.913,T030,0.115,0.091,D>4/n,-0.6564,-0.7034,0.00301,0.072,robust,52.598
candidate,max_force,primary,LOC134711376,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha),44,0.0269,0.756,0.913,T033,0.313,0.091,D>4/n,-0.3545,-0.4973,0.00131,0.403,robust,37.415
candidate,max_force,primary,LOC134715908,Dye-decolorizing peroxidase YfeX (EC 1.11.1.-),44,0.0288,0.756,0.913,T038,0.341,0.091,D>4/n,0.4371,0.6339,0.00369,0.45,robust,32.313
candidate,pad_area,primary,LOC134721033,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),44,0.0138,0.943,0.913,T030,0.291,0.091,D>4/n,-0.3282,-0.3329,0.00651,0.014,robust,34.834
candidate,pad_area,primary,LOC134710209,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),44,0.0202,0.943,0.913,T030,0.276,0.091,D>4/n,-0.2289,-0.2279,0.012,0.004,robust,37.755
candidate,pad_area,primary,LOC134682928,"Cysteine--tRNA ligase, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)",44,0.0214,0.943,0.913,T030,0.24,0.091,D>4/n,-0.1454,-0.1122,0.0669,0.228,fragile,60.054
candidate,adhesion_kpa,exploratory,LOC134687162,Glutathione S-transferase A4 (EC 2.5.1.18) (GST A4-4) (GSTA4-4) (GST class-alpha member 4) (Glutathione S-transferase 5.7) (GST 5.7),44,0.0145,0.825,0.835,T033,0.158,0.091,D>4/n,0.3378,0.3789,0.00307,0.121,robust,42.081
candidate,adhesion_kpa,exploratory,LOC134720932,Byssal peroxidase-like protein 2,44,0.0209,0.825,0.835,T030,0.13,0.091,D>4/n,0.1565,0.1581,0.0107,0.01,robust,35.518
candidate,adhesion_kpa,exploratory,LOC134724473,Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D),44,0.0216,0.825,0.835,T033,0.125,0.091,D>4/n,0.2588,0.2736,0.00891,0.057,robust,53.269
candidate,max_displacement,exploratory,LOC134716158,Collagen alpha-1(XXII) chain,44,8.3e-4,0.167,0.333,T133,0.623,0.091,D>4/n,0.03431,0.03385,8.28e-4,0.014,robust,38.974
candidate,max_displacement,exploratory,LOC134710997,"Peroxiredoxin-5, mitochondrial (EC 1.11.1.24) (Alu corepressor 1) (Antioxidant enzyme B166) (AOEB166) (Liver tissue 2D-page spot 71B) (PLP) (Peroxiredoxin V) (Prx-V) (Peroxisomal antioxidant enzyme) (TPx type VI) (Thioredoxin peroxidase PMP20) (Thioredoxin-dependent peroxiredoxin 5)",44,0.0023,0.231,0.462,T133,0.609,0.091,D>4/n,-0.01564,-0.01543,0.00229,0.013,robust,58.48
candidate,max_displacement,exploratory,LOC134707902,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",44,0.00509,0.341,0.682,T133,1.746,0.091,D>1,-0.02062,-0.02493,6.63e-4,0.209,robust,69.421
DEG_union,max_force,primary,LOC134721274,Zinc finger CCCH domain-containing protein 18,44,6.1e-4,0.317,0.635,T052,0.137,0.091,D>4/n,-0.9598,-1.063,1.06e-4,0.107,robust,38.532
DEG_union,pad_area,primary,LOC134711700,"Serine/arginine-rich splicing factor 4 (Splicing factor, arginine/serine-rich 4)",44,0.0157,0.999,0.999,T030,0.267,0.091,D>4/n,-0.3422,-0.3316,0.0113,0.031,robust,65
DEG_union,adhesion_kpa,exploratory,LOC134705633,Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase),44,0.00454,0.893,0.786,T037,0.263,0.091,D>4/n,0.352,0.4465,2.08e-4,0.269,robust,62.26
DEG_union,max_displacement,exploratory,LOC134683121,NA,44,0.00168,0.505,0.786,T014,0.315,0.091,D>4/n,0.07553,0.09727,4.12e-5,0.288,robust,NA
