LOC_ID,metric,scale,tier,n,slope,se,p_lm,baseline_slope,rho_partial,q_lm,q_family,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set,frac_at_floor,floor_flag,byssal_structural
LOC134718614,max_force,log,primary,45,0.777933449475852,0.19271145477521842,2.452989955031098e-4,0.031052519564450022,0.4244914822032512,0.061570047871280564,0.11516999280584138,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.522,3.69e-50,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134693664,max_force,log,primary,45,-0.6036829461945353,0.1976961497844329,0.004061633465454289,0.24517580780413165,-0.35595847642175615,0.5097349999145133,0.6796466665526845,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),49.624,2.02e-41,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134697060,max_force,log,primary,45,0.6833719500087523,0.2478704914612943,0.008828807770091273,0.3341858402894618,0.30776795569352305,0.6729424560400894,0.6833377483995681,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),31.587,3.499999999999999e-107,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
LOC134720928,max_force,log,primary,45,0.39615684321619477,0.14780995492443252,0.010724182566375926,0.30256815102887885,0.2887140756714045,0.6729424560400894,0.6833377483995681,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),49.329,0,genome_blast,TRUE,TRUE,candidate,0.13,ok,FALSE
LOC134694436,max_force,log,primary,45,0.2938656080276543,0.12293397445658795,0.021754832839185754,0.32804773888188393,0.4973410030481222,0.9165850144883341,0.8580909097130329,Heat shock 70 kDa protein 12B,28.732,8.41e-52,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134708355,max_force,log,primary,45,0.6838786820424306,0.29301127471089516,0.024842754856664626,0.3048128321599369,0.41197868666461945,0.9165850144883341,0.8693310848086859,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),47.404,0,genome_blast,FALSE,TRUE,candidate,0.022,ok,FALSE
LOC134687560,max_force,log,primary,45,-0.5297450470186147,0.23695433451906195,0.03117123411664611,0.21693905334534935,-0.29328204936832986,0.9165850144883341,0.8693310848086859,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1),67.974,4.6900000000000003e-70,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134720973,max_force,log,primary,45,-0.43179980319891714,0.2101371257855869,0.04663616801604867,0.23374391093681196,-0.3405664155053568,0.9165850144883341,0.9293782520000196,Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13),79.032,7.320000000000001e-29,genome_blast,TRUE,TRUE,candidate,0,ok,FALSE
LOC134681037,max_force,log,primary,45,0.32398040686578866,0.15783629064157784,0.04686106314334653,0.30604692135845196,0.3427974406251074,0.9165850144883341,0.9293782520000196,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),45.54,7.47e-59,genome_blast,FALSE,TRUE,candidate,0,ok,FALSE
LOC134712292,max_force,log,primary,45,0.3772969772063733,0.1844720055588508,0.04761569240751664,0.3339561027352377,0.2757370666369723,0.9165850144883341,0.9293782520000196,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",62.391,0,genome_blast,FALSE,TRUE,candidate,0.065,ok,FALSE
