LOC_ID,metric,scale,tier,n_threads,n_mussel,slope_mixed,p_mixed,q_mixed,protein_name,blast_pident,blast_evalue,annotation_source,in_TC_DEG_annotation,blast_ok,gene_set
LOC134718614,max_force,log,primary,136,45,0.7732557411370354,2.701375878804865e-4,0.06780453455800212,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.522,3.69e-50,genome_blast,FALSE,TRUE,candidate
LOC134693664,max_force,log,primary,136,45,-0.6042445658393975,0.003961558296724738,0.49717556623895465,Intraflagellar transport protein 25 homolog (Heat shock protein beta-11) (Hspb11) (Heat shock protein family B member 11) (Placental protein 25) (PP25),49.624,2.02e-41,genome_blast,FALSE,TRUE,candidate
LOC134697060,max_force,log,primary,136,45,0.6839916232671389,0.008721450353052293,0.6885068063891239,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),31.587,3.499999999999999e-107,genome_blast,FALSE,TRUE,candidate
LOC134720928,max_force,log,primary,136,45,0.39489603297945786,0.010972220022137432,0.6885068063891239,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),49.329,0,genome_blast,TRUE,TRUE,candidate
LOC134694436,max_force,log,primary,136,45,0.294270505219315,0.02130019713554109,0.9269027021100307,Heat shock 70 kDa protein 12B,28.732,8.41e-52,genome_blast,FALSE,TRUE,candidate
LOC134708355,max_force,log,primary,136,45,0.6799564506690133,0.025639209167584744,0.9269027021100307,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),47.404,0,genome_blast,FALSE,TRUE,candidate
LOC134687560,max_force,log,primary,136,45,-0.5300932059821647,0.030977661721524354,0.9269027021100307,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1),67.974,4.69e-70,genome_blast,TRUE,TRUE,candidate
LOC134720973,max_force,log,primary,136,45,-0.4317287709335471,0.04660180972940655,0.9269027021100307,Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13),79.032,7.320000000000001e-29,genome_blast,TRUE,TRUE,candidate
LOC134681037,max_force,log,primary,136,45,0.321366963622818,0.04851279774882989,0.9269027021100307,Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35),45.54,7.47e-59,genome_blast,FALSE,TRUE,candidate
LOC134728119,max_force,log,primary,136,45,-0.3339240123648314,0.04898991878945281,0.9269027021100307,Collagen alpha-1(XXII) chain,35.678,1.43e-29,genome_blast,TRUE,TRUE,candidate
LOC134712292,max_force,log,primary,136,45,0.3703447534169735,0.051293721751247245,0.9269027021100307,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",62.391,0,genome_blast,FALSE,TRUE,candidate
LOC134681328,max_force,log,primary,136,45,-0.4171824617151025,0.054550535749220246,0.9269027021100307,Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9),44.848,3.789999999999999e-48,genome_blast,FALSE,TRUE,candidate
LOC134692391,max_force,log,primary,136,45,-0.5598326323017718,0.06541220454332099,0.9269027021100307,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),30.388,3.01e-84,genome_blast,FALSE,TRUE,candidate
LOC134686763,max_force,log,primary,136,45,0.4007496048593026,0.07647570521211709,0.9269027021100307,Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37),57.925,6.77e-125,genome_blast,TRUE,TRUE,candidate
LOC134706926,max_force,log,primary,136,45,-0.3580182994654613,0.07667105529767787,0.9269027021100307,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",63.534,3.809999999999999e-118,genome_blast,FALSE,TRUE,candidate
LOC134687339,max_force,log,primary,136,45,0.20744355974700052,0.07732252351303101,0.9269027021100307,"Glutathione S-transferase 3, mitochondrial (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)",43.796,1.14e-39,genome_blast,FALSE,TRUE,candidate
LOC134706848,max_force,log,primary,136,45,-0.5869806891878218,0.07912005614930957,0.9269027021100307,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),29.375,2.28e-84,genome_blast,FALSE,TRUE,candidate
LOC134711985,max_force,log,primary,136,45,0.6638900662365368,0.08023378165923079,0.9269027021100307,Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B),52.72,3.4999999999999996e-88,genome_blast,TRUE,TRUE,candidate
LOC134710209,max_force,log,primary,136,45,0.4802034652295916,0.08094380614360071,0.9269027021100307,Putative ABC transporter C family member 15 (ABC transporter ABCC.15) (AtABCC15) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 15) (Glutathione S-conjugate-transporting ATPase 15) (Putative multidrug resistance-associated protein 15),37.755,0,genome_blast,FALSE,TRUE,candidate
LOC134714846,max_force,log,primary,136,45,-0.626320802120062,0.09311941936157969,0.9269027021100307,Ceramide transfer protein (CERT) (Collagen type IV alpha-3-binding protein),50.825,0,genome_blast,FALSE,TRUE,candidate
LOC134688272,max_force,log,primary,136,45,-1.0559268373842254,0.09545361147912466,0.9269027021100307,Novel acetylcholine receptor chaperone (Transmembrane protein 35A),42.063,6.640000000000001e-26,genome_blast,FALSE,TRUE,candidate
LOC134716333,max_force,log,primary,136,45,-0.4464779332499531,0.09755684250290492,0.9269027021100307,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B (HsPDE8B) (EC 3.1.4.53) (Cell proliferation-inducing gene 22 protein)",52.598,0,genome_blast,TRUE,TRUE,candidate
LOC134721918,max_force,log,primary,136,45,-0.4365835128707055,0.10268740148691032,0.9269027021100307,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.228,2.63e-102,genome_blast,FALSE,TRUE,candidate
LOC134701697,max_force,log,primary,136,45,0.3867445915872436,0.10527868727541119,0.9269027021100307,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),31.23,6.08e-104,genome_blast,FALSE,TRUE,candidate
LOC134715354,max_force,log,primary,136,45,-0.28505529917722816,0.1097670530834728,0.9269027021100307,Glutathione S-transferase 1 (EC 2.5.1.18) (GST class-sigma),39.336,4.17e-44,genome_blast,TRUE,TRUE,candidate
LOC134697661,max_force,log,primary,136,45,0.3925821915882486,0.11197177677141694,0.9269027021100307,"Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)",64.23,0,genome_blast,FALSE,TRUE,candidate
LOC134721923,max_force,log,primary,136,45,0.41512577112890664,0.11867191701900513,0.9269027021100307,Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A),32.227,4.429999999999999e-95,genome_blast,FALSE,TRUE,candidate
LOC134707678,max_force,log,primary,136,45,-0.10732682152827232,0.12031525703170295,0.9269027021100307,Byssal peroxidase-like protein 1,34.068,1.23e-87,genome_blast,FALSE,TRUE,candidate
LOC134714403,max_force,log,primary,136,45,0.11525731161046307,0.125002517375247,0.9269027021100307,Phenylalanine--tRNA ligase alpha subunit B (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit B) (PheRS),63.618,0,genome_blast,FALSE,TRUE,candidate
LOC134725830,max_force,log,primary,136,45,-0.43878045713258257,0.12997093510699867,0.9269027021100307,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),63.053,0,genome_blast,FALSE,TRUE,candidate
LOC134725558,max_force,log,primary,136,45,0.40426785536716436,0.13333980230139356,0.9269027021100307,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),36.145,3.11e-54,genome_blast,FALSE,TRUE,candidate
LOC134696037,max_force,log,primary,136,45,-0.29989701100827604,0.13443634351969483,0.9269027021100307,Heat shock 70 kDa protein 12A,33.764,1.87e-83,genome_blast,FALSE,TRUE,candidate
LOC134718464,max_force,log,primary,136,45,0.3721450836594974,0.1353510461526825,0.9269027021100307,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein),63.014,1.44e-58,genome_blast,FALSE,TRUE,candidate
LOC134721033,max_force,log,primary,136,45,-0.5797135636563931,0.139163353079429,0.9269027021100307,Tubulin-specific chaperone cofactor E-like protein (EL) (Leucine-rich repeat-containing protein 35),34.834,4.8000000000000006e-80,genome_blast,FALSE,TRUE,candidate
LOC134707235,max_force,log,primary,136,45,-0.28835499588037933,0.14734599607935778,0.9269027021100307,Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS),49.847,0,genome_blast,FALSE,TRUE,candidate
LOC134697127,max_force,log,primary,136,45,0.5501784127439261,0.1479725278302901,0.9269027021100307,Heat shock 70 kDa protein 12B (Heat shock protein family A member 12B),33.807,1.68e-109,genome_blast,TRUE,TRUE,candidate
LOC134711163,max_force,log,primary,136,45,-0.8191973672293305,0.15472378750363022,0.9269027021100307,Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2),31.496,5.17e-50,genome_blast,FALSE,TRUE,candidate
LOC134706747,max_force,log,primary,136,45,0.29449468707614784,0.156077525998649,0.9269027021100307,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),63.306,0,genome_blast,FALSE,TRUE,candidate
LOC134706727,max_force,log,primary,136,45,0.5046114758843129,0.1622845287061866,0.9269027021100307,Glutathione S-transferase (PfGST) (EC 2.5.1.18),32.227,1.79e-21,genome_blast,FALSE,TRUE,candidate
