module,n_genes,pc1_var,metric,tier,n,slope_wls,p_wls,slope_mixed,p_mixed,q_wls,q_mixed,p_perm_metricwise,p_perm_famwise,p_perm_primary
tRNA_translation,29,0.35,dlog_adhesion_kpa,exploratory,44,0.06849270983403169,0.013879582834122228,NA,NA,0.08327749700473336,NA,0.07579242075792421,0.3564643535646435,NA
tRNA_translation,29,0.35,adhesion_kpa,exploratory,45,3.63562003447909,0.019971171579895343,3.644138833904822,0.01947571812444353,0.11982702947937206,0.1168543087466612,0.0927907209279072,0.45955404459554045,NA
tRNA_translation,29,0.35,dlog_max_force,primary,44,0.05479385896814377,0.025734038079399654,NA,NA,0.15440422847639793,NA,0.20267973202679732,0.5397460253974603,0.39166083391660833
HIF_hypoxia,13,0.25,dlog_pad_area,primary,44,0.0604316271817261,0.04579554499041348,NA,NA,0.27477326994248086,NA,0.08589141085891411,0.7336266373362663,0.5697430256974303
tRNA_translation,29,0.35,pad_area,primary,45,-0.08062136732065338,0.0601917870280652,-0.0805394767972904,0.06022847847576104,0.36115072216839117,0.3613708708545662,0.2515748425157484,0.8176182381761824,0.6648335166483351
tRNA_translation,29,0.35,max_force,primary,45,0.004882115593538246,0.15956483835608173,0.004905276705533191,0.1567191410512581,0.5119987571691687,0.5253363893640349,0.6212378762123788,0.9876012398760124,0.9458054194580542
byssal_structural,16,0.63,dlog_max_force,primary,44,0.029472496144715234,0.18107509029855443,NA,NA,0.3826042694926486,NA,0.7202279772022798,0.9934006599340066,0.9646035396460354
byssal_collagen,60,0.24,dlog_max_force,primary,44,0.024377904135386427,0.1913021347463243,NA,NA,0.3826042694926486,NA,0.7397260273972602,0.9948005199480052,0.9709029097090291
oxidative_detox,49,0.12,adhesion_kpa,exploratory,45,2.395965180180533,0.19792029537809286,2.382754351060364,0.1997812224006152,0.5843265182600317,0.5878299357772934,0.6635336466353364,0.9963003699630038,NA
oxidative_detox,49,0.12,pad_area,primary,45,-0.06274022478187101,0.21441904008842458,-0.06298004555422695,0.2123601732594604,0.6432571202652737,0.6370805197783812,0.6874312568743126,0.9977002299770023,0.9838016198380162
byssal_collagen,60,0.24,max_force,primary,45,0.003066052530940567,0.22064602247243428,0.0030475782677428153,0.22248099103450644,0.5119987571691687,0.5253363893640349,0.7430256974302569,0.9982001799820018,0.9852014798520148
oxidative_detox,49,0.12,max_displacement,exploratory,45,0.002631206261636351,0.24150378938176661,0.002653120525217479,0.23682174021846264,0.8760369721574987,0.8594179946396604,0.7927207279272073,0.9989001099890011,NA
