"...1" "sample.1" "tissue" "treatment" "day"
"T001G" "T001G" "G" "control" 0
"T002G" "T002G" "G" "control" 0
"T003G" "T003G" "G" "control" 0
"T004G" "T004G" "G" "control" 0
"T005G" "T005G" "G" "control" 0
"T006G" "T006G" "G" "control" 0
"T007G" "T007G" "G" "control" 0
"T008G" "T008G" "G" "control" 0
"T009G" "T009G" "G" "control" 0
"T010G" "T010G" "G" "control" 0
"T011G" "T011G" "G" "control" 0
"T012G" "T012G" "G" "control" 0
"T014G" "T014G" "G" "OA" 3
"T015G" "T015G" "G" "OA" 3
"T016G" "T016G" "G" "OA" 3
"T017G" "T017G" "G" "OA" 3
"T019G" "T019G" "G" "OA" 3
"T021G" "T021G" "G" "OA" 3
"T023G" "T023G" "G" "OA" 3
"T025G" "T025G" "G" "OA" 3
"T026G" "T026G" "G" "OA" 3
"T027G" "T027G" "G" "OA" 3
"T029G" "T029G" "G" "OW" 3
"T030G" "T030G" "G" "OW" 3
"T031G" "T031G" "G" "OW" 3
"T033G" "T033G" "G" "OW" 3
"T034G" "T034G" "G" "OW" 3
"T035G" "T035G" "G" "OW" 3
"T036G" "T036G" "G" "OW" 3
"T037G" "T037G" "G" "OW" 3
"T038G" "T038G" "G" "OW" 3
"T039G" "T039G" "G" "OW" 3
"T040G" "T040G" "G" "OW" 3
"T041G" "T041G" "G" "OW" 3
"T046G" "T046G" "G" "DO" 3
"T047G" "T047G" "G" "DO" 3
"T049G" "T049G" "G" "DO" 3
"T052G" "T052G" "G" "DO" 3
"T055G" "T055G" "G" "DO" 3
"T056G" "T056G" "G" "DO" 3
"T057G" "T057G" "G" "DO" 3
"T058G" "T058G" "G" "DO" 3
"T110G" "T110G" "G" "DO" 3
"T111G" "T111G" "G" "DO" 3
"T112G" "T112G" "G" "DO" 3
"T118G" "T118G" "G" "OA" 3
"T119G" "T119G" "G" "OA" 3
