"...1" "sample.1" "tissue" "treatment" "day"
"T014G" "T014G" "G" "OA" 3
"T015G" "T015G" "G" "OA" 3
"T016G" "T016G" "G" "OA" 3
"T017G" "T017G" "G" "OA" 3
"T019G" "T019G" "G" "OA" 3
"T021G" "T021G" "G" "OA" 3
"T023G" "T023G" "G" "OA" 3
"T025G" "T025G" "G" "OA" 3
"T026G" "T026G" "G" "OA" 3
"T027G" "T027G" "G" "OA" 3
"T118G" "T118G" "G" "OA" 3
"T119G" "T119G" "G" "OA" 3
"T126G" "T126G" "G" "control" 3
"T127G" "T127G" "G" "control" 3
"T128G" "T128G" "G" "control" 3
"T129G" "T129G" "G" "control" 3
"T130G" "T130G" "G" "control" 3
"T131G" "T131G" "G" "control" 3
"T132G" "T132G" "G" "control" 3
"T133G" "T133G" "G" "control" 3
"T134G" "T134G" "G" "control" 3
"T135G" "T135G" "G" "control" 3
"T136G" "T136G" "G" "control" 3
"T137G" "T137G" "G" "control" 3
