"sample.1" "tissue" "treatment" "day"
"T001G" "G" "control" "0"
"T002G" "G" "control" "0"
"T003G" "G" "control" "0"
"T004G" "G" "control" "0"
"T005G" "G" "control" "0"
"T006G" "G" "control" "0"
"T007G" "G" "control" "0"
"T008G" "G" "control" "0"
"T009G" "G" "control" "0"
"T010G" "G" "control" "0"
"T011G" "G" "control" "0"
"T012G" "G" "control" "0"
"T014G" "G" "OA" "3"
"T015G" "G" "OA" "3"
"T016G" "G" "OA" "3"
"T017G" "G" "OA" "3"
"T019G" "G" "OA" "3"
"T021G" "G" "OA" "3"
"T023G" "G" "OA" "3"
"T025G" "G" "OA" "3"
"T026G" "G" "OA" "3"
"T027G" "G" "OA" "3"
"T118G" "G" "OA" "3"
"T119G" "G" "OA" "3"
