"...1" "sample.1" "tissue" "treatment" "day"
"T029G" "T029G" "G" "OW" 3
"T030G" "T030G" "G" "OW" 3
"T031G" "T031G" "G" "OW" 3
"T033G" "T033G" "G" "OW" 3
"T034G" "T034G" "G" "OW" 3
"T035G" "T035G" "G" "OW" 3
"T036G" "T036G" "G" "OW" 3
"T037G" "T037G" "G" "OW" 3
"T038G" "T038G" "G" "OW" 3
"T039G" "T039G" "G" "OW" 3
"T040G" "T040G" "G" "OW" 3
"T041G" "T041G" "G" "OW" 3
"T126G" "T126G" "G" "control" 3
"T127G" "T127G" "G" "control" 3
"T128G" "T128G" "G" "control" 3
"T129G" "T129G" "G" "control" 3
"T130G" "T130G" "G" "control" 3
"T131G" "T131G" "G" "control" 3
"T132G" "T132G" "G" "control" 3
"T133G" "T133G" "G" "control" 3
"T134G" "T134G" "G" "control" 3
"T135G" "T135G" "G" "control" 3
"T136G" "T136G" "G" "control" 3
"T137G" "T137G" "G" "control" 3
