gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134711670|LOC134711670,60.7070498735522,0.718569328305892,0.335914294699619,0.00101462020293284,0.0412339129676371,LOC134711670,lcl|NC_086375.1_cds_XP_063428502.1_13350,sp,Q16YG0,CDC42,AEDAE,63.068,176,65,0,28,555,4,179,3.07e-77,233,reviewed,CDC42_AEDAE,Cdc42 homolog,Cdc42 AAEL008543,Aedes aegypti (Yellowfever mosquito) (Culex aegypti),191,GO:0003006; GO:0003924; GO:0005525; GO:0005886; GO:0005912; GO:0006897; GO:0007163; GO:0009653; GO:0019901; GO:0022412; GO:0032488; GO:0035006; GO:0035099; GO:0043197; GO:0043226; GO:0045185; GO:0045860; GO:0051130; GO:0051489; GO:0099563,anatomical structure morphogenesis [GO:0009653]; Cdc42 protein signal transduction [GO:0032488]; cellular process involved in reproduction in multicellular organism [GO:0022412]; developmental process involved in reproduction [GO:0003006]; endocytosis [GO:0006897]; establishment or maintenance of cell polarity [GO:0007163]; hemocyte migration [GO:0035099]; maintenance of protein location [GO:0045185]; melanization defense response [GO:0035006]; modification of synaptic structure [GO:0099563]; positive regulation of cellular component organization [GO:0051130]; positive regulation of protein kinase activity [GO:0045860]; regulation of filopodium assembly [GO:0051489],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein kinase binding [GO:0019901],adherens junction [GO:0005912]; dendritic spine [GO:0043197]; organelle [GO:0043226]; plasma membrane [GO:0005886],,,,,,
gene-LOC134696665|LOC134696665,122.216463130043,0.309883123436876,0.115424985418706,5.88720420239594e-4,0.0300937321064661,LOC134696665,lcl|NC_086386.1_cds_XP_063414650.1_47627,sp,Q923Q2,STA13,MOUSE,38.692,1101,579,27,2176,5349,66,1113,0,706,reviewed,STA13_MOUSE,StAR-related lipid transfer protein 13 (START domain-containing protein 13) (StARD13),Stard13,Mus musculus (Mouse),1113,GO:0005096; GO:0005811; GO:0007165; GO:0008289; GO:0030036; GO:0031966; GO:0035023; GO:0043542; GO:0090051; GO:0097498; GO:1903671,actin cytoskeleton organization [GO:0030036]; endothelial cell migration [GO:0043542]; endothelial tube lumen extension [GO:0097498]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of sprouting angiogenesis [GO:1903671]; regulation of Rho protein signal transduction [GO:0035023]; signal transduction [GO:0007165],GTPase activator activity [GO:0005096]; lipid binding [GO:0008289],lipid droplet [GO:0005811]; mitochondrial membrane [GO:0031966],,,,R-MMU-8980692;R-MMU-9013026;R-MMU-9013106;R-MMU-9013148;,,Q96QB1
gene-LOC134685599|LOC134685599,88.4714350489604,1.20341426381896,0.562195436806181,8.55528832594666e-4,0.0380797629365095,LOC134685599,lcl|NC_086381.1_cds_XP_063401567.1_35534,sp,A4IGY6,S39AE,XENTR,34.753,446,219,11,55,1254,27,446,7.74e-68,226,reviewed,S39AE_XENTR,Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14),slc39a14,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462,GO:0005381; GO:0005384; GO:0005385; GO:0005765; GO:0005886; GO:0006882; GO:0015086; GO:0015296; GO:0016323; GO:0016324; GO:0031901; GO:0031902; GO:0032869; GO:0033212; GO:0034755; GO:0045745; GO:0051344; GO:0055071; GO:0071333; GO:0071421; GO:0071577; GO:0071578; GO:0098662; GO:0098739,cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; import across plasma membrane [GO:0098739]; inorganic cation transmembrane transport [GO:0098662]; intracellular zinc ion homeostasis [GO:0006882]; iron import into cell [GO:0033212]; iron ion transmembrane transport [GO:0034755]; manganese ion homeostasis [GO:0055071]; manganese ion transmembrane transport [GO:0071421]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; zinc ion import across plasma membrane [GO:0071578]; zinc ion transmembrane transport [GO:0071577],cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; monoatomic anion:monoatomic cation symporter activity [GO:0015296]; zinc ion transmembrane transporter activity [GO:0005385],apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886],,,,R-XTR-442380;,,
gene-LOC134695400|LOC134695400,61.5614765868199,0.627401563841157,0.268136600717616,7.01109582582769e-4,0.0334843795535697,LOC134695400,lcl|NC_086385.1_cds_XP_063412705.1_46935,sp,D3ZAA9,MPP2,RAT,41.897,580,298,10,1,1707,1,552,1.65e-149,444,reviewed,MPP2_RAT,MAGUK p55 subfamily member 2 (Protein MPP2),Mpp2 rCG_34691,Rattus norvegicus (Rat),552,GO:0005737; GO:0005856; GO:0005886; GO:0005911; GO:0014069; GO:0030165; GO:0032590; GO:0043197; GO:0043198; GO:0044325; GO:0051260; GO:0060079; GO:0060291; GO:0098685; GO:0098839; GO:0098919; GO:0098978; GO:0099173; GO:0099562,excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; maintenance of postsynaptic density structure [GO:0099562]; postsynapse organization [GO:0099173]; protein homooligomerization [GO:0051260],PDZ domain binding [GO:0030165]; structural constituent of postsynaptic density [GO:0098919]; transmembrane transporter binding [GO:0044325],cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite membrane [GO:0032590]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density membrane [GO:0098839]; Schaffer collateral - CA1 synapse [GO:0098685],,,,,,
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,31.456,1243,508,35,2164,4998,603,1799,1.96e-154,524,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,30.945,1270,514,40,2134,4998,24,1245,7.15e-147,502,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,31.175,1251,509,38,2164,4998,147,1351,3.61e-146,500,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,31.655,1033,434,30,2584,5001,31,1018,3.41e-127,444,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,31.579,912,373,25,2923,5001,25,904,8.12e-111,395,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
gene-LOC134716539|LOC134716539,167.88140611737,-0.69827046124974,0.256343479626098,2.49071342693885e-4,0.0162967379524609,LOC134716539,lcl|NC_086376.1_cds_XP_063435618.1_17502,sp,P08519,APOA,HUMAN,29.318,689,299,24,2164,3825,1173,1808,1.82e-64,247,reviewed,APOA_HUMAN,Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-),LPA,Homo sapiens (Human),2040,GO:0001968; GO:0004175; GO:0004252; GO:0004866; GO:0005102; GO:0005576; GO:0005615; GO:0006508; GO:0006629; GO:0006869; GO:0008015; GO:0008201; GO:0034185; GO:0034358,blood circulation [GO:0008015]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; proteolysis [GO:0006508],apolipoprotein binding [GO:0034185]; endopeptidase activity [GO:0004175]; endopeptidase inhibitor activity [GO:0004866]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102],extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma lipoprotein particle [GO:0034358],,,P08519;,R-HSA-8964041;,,P02749; P02751
