gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,LOC_ID,transcript,database,uniprot_accession,geneID,species,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,reviewed,entryname,protein_name,gene_name,organism,prot_length,GO_ID,GO_BP,GO_MF,GO_CC,Genename_orderedlocus,Induction,Pathwaycommons,Reactome,Unipathway,Interacts_with
gene-LOC134721619|LOC134721619,38.059815069236,-1.29449435529245,0.503743476363947,2.98113332385966e-4,0.0143094399545264,LOC134721619,lcl|NC_086378.1_cds_XP_063440796.1_25630,sp,A0A481NSZ4,BPI,SEBSC,27.708,480,327,8,13,1419,1,471,8.17e-59,204,reviewed,BPI_SEBSC,Bactericidal permeability-increasing protein (BPI) (Lipopolysaccharide-binding protein) (LBP),BPI LBP,Sebastes schlegelii (Korean rockfish),473,GO:0001530; GO:0005615; GO:0031663; GO:0032715; GO:0032717; GO:0032720; GO:0043031; GO:0045087; GO:0050829,defense response to Gram-negative bacterium [GO:0050829]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of macrophage activation [GO:0043031]; negative regulation of tumor necrosis factor production [GO:0032720],lipopolysaccharide binding [GO:0001530],extracellular space [GO:0005615],,"INDUCTION: Up-regulated in response to pathogen stress, such as exposure to lipopolysaccharides (LPS) or S.iniae culture. {ECO:0000269|PubMed:27663679}.",,,,
gene-LOC134707468|LOC134707468,30.177467606902,4.9533891655456,1.0693157081831,1.34909888284198e-7,4.51992980195693e-5,LOC134707468,lcl|NC_086374.1_cds_XP_063423296.1_8526,sp,Q1HG43,DOXA1,HUMAN,30.466,279,187,7,31,855,8,283,9.35e-29,120,reviewed,DOXA1_HUMAN,Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein),DUOXA1 NIP NUMBIP,Homo sapiens (Human),343,GO:0005783; GO:0005789; GO:0005886; GO:0008104; GO:0010729; GO:0015031; GO:0016020; GO:0019899; GO:0031252; GO:0042743; GO:0045666; GO:0050727; GO:2000609,hydrogen peroxide metabolic process [GO:0042743]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of neuron differentiation [GO:0045666]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of inflammatory response [GO:0050727]; regulation of thyroid hormone generation [GO:2000609],enzyme binding [GO:0019899],cell leading edge [GO:0031252]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; plasma membrane [GO:0005886],,,Q1HG43;,,,Q9NRD9
gene-LOC134680973|LOC134680973,146.879649134735,-1.08927480706245,0.223973646204633,5.26972873492535e-8,2.48483209053892e-5,LOC134680973,lcl|NC_086380.1_cds_XP_063396367.1_32569,sp,A6NMZ7,CO6A6,HUMAN,27.119,413,256,13,94,1320,616,987,9.8e-34,139,reviewed,CO6A6_HUMAN,Collagen alpha-6(VI) chain,COL6A6,Homo sapiens (Human),2263,GO:0005576; GO:0005581; GO:0007155; GO:0031012; GO:0062023,cell adhesion [GO:0007155],,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],,,A6NMZ7;,R-HSA-1442490;R-HSA-1650814;R-HSA-186797;R-HSA-2022090;R-HSA-216083;R-HSA-3000178;R-HSA-419037;R-HSA-8948216;,,
gene-LOC134680973|LOC134680973,146.879649134735,-1.08927480706245,0.223973646204633,5.26972873492535e-8,2.48483209053892e-5,LOC134680973,lcl|NC_086380.1_cds_XP_063396367.1_32569,sp,A6NMZ7,CO6A6,HUMAN,25.98,408,277,12,109,1326,229,613,5.93e-25,112,reviewed,CO6A6_HUMAN,Collagen alpha-6(VI) chain,COL6A6,Homo sapiens (Human),2263,GO:0005576; GO:0005581; GO:0007155; GO:0031012; GO:0062023,cell adhesion [GO:0007155],,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576],,,A6NMZ7;,R-HSA-1442490;R-HSA-1650814;R-HSA-186797;R-HSA-2022090;R-HSA-216083;R-HSA-3000178;R-HSA-419037;R-HSA-8948216;,,
gene-LOC134721348|LOC134721348,61.6992335550465,0.444458446480608,0.144862330810718,1.38242757894425e-4,0.00833198456602789,LOC134721348,lcl|NC_086378.1_cds_XP_063440358.1_24992,sp,Q969N2,PIGT,HUMAN,43.462,543,286,11,82,1668,28,563,4.6e-159,470,reviewed,PIGT_HUMAN,GPI transamidase component PIG-T (Phosphatidylinositol-glycan biosynthesis class T protein),PIGT CGI-06 PSEC0163 UNQ716/PRO1379,Homo sapiens (Human),578,GO:0005789; GO:0016020; GO:0016255; GO:0030182; GO:0031410; GO:0042765; GO:0051402,attachment of GPI anchor to protein [GO:0016255]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182],,cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum membrane [GO:0005789]; GPI-anchor transamidase complex [GO:0042765]; membrane [GO:0016020],,,Q969N2;,R-HSA-162791;,UPA00196;,O43292; Q92643; Q96S52
gene-LOC134685599|LOC134685599,92.6271178045081,1.31317763549465,0.529220576895702,4.18526855052236e-4,0.0182332134244496,LOC134685599,lcl|NC_086381.1_cds_XP_063401567.1_35534,sp,A4IGY6,S39AE,XENTR,34.753,446,219,11,55,1254,27,446,7.74e-68,226,reviewed,S39AE_XENTR,Metal cation symporter ZIP14 (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14),slc39a14,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),462,GO:0005381; GO:0005384; GO:0005385; GO:0005765; GO:0005886; GO:0006882; GO:0015086; GO:0015296; GO:0016323; GO:0016324; GO:0031901; GO:0031902; GO:0032869; GO:0033212; GO:0034755; GO:0045745; GO:0051344; GO:0055071; GO:0071333; GO:0071421; GO:0071577; GO:0071578; GO:0098662; GO:0098739,cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; import across plasma membrane [GO:0098739]; inorganic cation transmembrane transport [GO:0098662]; intracellular zinc ion homeostasis [GO:0006882]; iron import into cell [GO:0033212]; iron ion transmembrane transport [GO:0034755]; manganese ion homeostasis [GO:0055071]; manganese ion transmembrane transport [GO:0071421]; negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]; positive regulation of G protein-coupled receptor signaling pathway [GO:0045745]; zinc ion import across plasma membrane [GO:0071578]; zinc ion transmembrane transport [GO:0071577],cadmium ion transmembrane transporter activity [GO:0015086]; iron ion transmembrane transporter activity [GO:0005381]; manganese ion transmembrane transporter activity [GO:0005384]; monoatomic anion:monoatomic cation symporter activity [GO:0015296]; zinc ion transmembrane transporter activity [GO:0005385],apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886],,,,R-XTR-442380;,,
gene-LOC134708256|LOC134708256,67.0157498216633,0.325604485567959,0.13532915791569,0.00138887755377745,0.0404690416911453,LOC134708256,lcl|NC_086374.1_cds_XP_063424720.1_10290,sp,Q5R8Z8,RAB14,PONAB,87.907,215,25,1,1,642,1,215,4.48e-144,403,reviewed,RAB14_PONAB,Ras-related protein Rab-14 (EC 3.6.5.2),RAB14,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),215,GO:0000139; GO:0003924; GO:0005525; GO:0005802; GO:0005829; GO:0006895; GO:0008543; GO:0015031; GO:0019003; GO:0031901; GO:0032456; GO:0032880; GO:0042742; GO:0045335; GO:0045995; GO:0055037; GO:0090382,defense response to bacterium [GO:0042742]; endocytic recycling [GO:0032456]; fibroblast growth factor receptor signaling pathway [GO:0008543]; Golgi to endosome transport [GO:0006895]; phagosome maturation [GO:0090382]; protein transport [GO:0015031]; regulation of embryonic development [GO:0045995]; regulation of protein localization [GO:0032880],GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924],cytosol [GO:0005829]; early endosome membrane [GO:0031901]; Golgi membrane [GO:0000139]; phagocytic vesicle [GO:0045335]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802],,,,,,
gene-LOC134712565|LOC134712565,949.918676270518,-0.499409794345791,0.237223860588619,0.00158661386343713,0.043555810716822,LOC134712565,lcl|NC_086375.1_cds_XP_063430332.1_15389,sp,P11833,TBB,PARLI,99.302,430,3,0,1,1290,1,430,0,859,reviewed,TBB_PARLI,Tubulin beta chain (Beta-tubulin),,Paracentrotus lividus (Common sea urchin),447,GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0046872,microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278],GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200],cytoplasm [GO:0005737]; microtubule [GO:0005874],,,,,,
gene-LOC134728254|LOC134728254,32.1415795140743,0.521578473310328,0.242632592191177,0.00137715101950992,0.0402892064685821,LOC134728254,lcl|NC_086380.1_cds_XP_063448865.1_31320,sp,E9PVA8,GCN1,MOUSE,50.356,2671,1301,14,28,7989,8,2670,0,2474,reviewed,GCN1_MOUSE,Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1),Gcn1 Gcn1l1,Mus musculus (Mouse),2671,GO:0005737; GO:0005829; GO:0006417; GO:0019887; GO:0022626; GO:0034198; GO:0043539; GO:0060090; GO:0072344; GO:0140469; GO:0170011,cellular response to amino acid starvation [GO:0034198]; GCN2-mediated signaling [GO:0140469]; regulation of translation [GO:0006417]; rescue of stalled ribosome [GO:0072344],molecular adaptor activity [GO:0060090]; protein kinase regulator activity [GO:0019887]; protein serine/threonine kinase activator activity [GO:0043539]; stalled ribosome sensor activity [GO:0170011],cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626],,,,,,
gene-LOC134685124|LOC134685124,222.07385622097,0.245892126611068,0.0900148240727413,9.47448802615934e-4,0.0309989779664054,LOC134685124,lcl|NC_086381.1_cds_XP_063400657.1_34299,sp,Q28EB4,NP1L1,XENTR,62.963,324,107,3,97,1065,33,344,2.52e-115,345,reviewed,NP1L1_XENTR,Nucleosome assembly protein 1-like 1,nap1l1 TNeu131c07.1,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),393,GO:0005634; GO:0005737; GO:0006334; GO:0007283; GO:0030332; GO:0042393; GO:0042802; GO:0045944; GO:0060215,nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase II [GO:0045944]; primitive hemopoiesis [GO:0060215]; spermatogenesis [GO:0007283],cyclin binding [GO:0030332]; histone binding [GO:0042393]; identical protein binding [GO:0042802],cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,,
