mussel,rna_tissues,mn,treatment,day,in_summary_post,in_summary_base,raw_treatment,raw_control,poststress_missing,baseline_missing
T046,FG,T046,DO,3,3,2,3,2,FALSE,FALSE
T049,FG,T049,DO,3,3,3,3,3,FALSE,FALSE
T052,FG,T052,DO,3,2,3,2,3,FALSE,FALSE
T055,FG,T055,DO,3,2,2,2,2,FALSE,FALSE
T056,FG,T056,DO,3,3,3,3,3,FALSE,FALSE
T057,FG,T057,DO,3,3,3,3,3,FALSE,FALSE
T058,FG,T058,DO,3,1,2,1,2,FALSE,FALSE
T110,FG,T110,DO,3,0,0,0,0,FALSE,FALSE
T111,FG,T111,DO,3,0,0,0,0,FALSE,FALSE
T112,FG,T112,DO,3,0,0,0,0,FALSE,FALSE
T014,FG,T014,OA,3,1,3,1,3,FALSE,FALSE
T015,FG,T015,OA,3,1,3,1,3,FALSE,FALSE
T016,FG,T016,OA,3,3,3,3,3,FALSE,FALSE
T017,FG,T017,OA,3,3,3,3,3,FALSE,FALSE
T019,FG,T019,OA,3,3,3,3,3,FALSE,FALSE
T021,FG,T021,OA,3,1,0,1,0,FALSE,FALSE
T023,FG,T023,OA,3,3,3,3,3,FALSE,FALSE
T025,FG,T025,OA,3,3,3,3,3,FALSE,FALSE
T026,FG,T026,OA,3,3,3,3,3,FALSE,FALSE
T027,FG,T027,OA,3,3,3,3,3,FALSE,FALSE
T118,FG,T118,OA,3,2,0,2,0,FALSE,FALSE
T119,FG,T119,OA,3,3,0,3,0,FALSE,FALSE
T029,FG,T029,OW,3,4,3,4,3,FALSE,FALSE
T030,FG,T030,OW,3,3,1,3,1,FALSE,FALSE
T031,FG,T031,OW,3,3,3,3,3,FALSE,FALSE
T033,FG,T033,OW,3,2,3,2,3,FALSE,FALSE
T034,FG,T034,OW,3,3,3,3,3,FALSE,FALSE
T035,FG,T035,OW,3,2,0,2,0,FALSE,FALSE
T036,FG,T036,OW,3,3,3,3,3,FALSE,FALSE
T037,FG,T037,OW,3,3,3,3,3,FALSE,FALSE
T038,FG,T038,OW,3,3,2,3,2,FALSE,FALSE
T039,FG,T039,OW,3,3,3,3,3,FALSE,FALSE
T040,FG,T040,OW,3,3,3,3,3,FALSE,FALSE
T041,FG,T041,OW,3,1,2,1,2,FALSE,FALSE
T001,FFXG,T001,control,0,0,3,0,3,FALSE,FALSE
T002,FFXG,T002,control,0,0,3,0,3,FALSE,FALSE
T003,FFXG,T003,control,0,0,2,0,3,FALSE,FALSE
T004,FFXG,T004,control,0,0,3,0,3,FALSE,FALSE
T005,FFXG,T005,control,0,0,3,0,3,FALSE,FALSE
T006,FFXG,T006,control,0,0,3,0,3,FALSE,FALSE
T007,FFXG,T007,control,0,0,0,0,0,FALSE,FALSE
T008,FFXG,T008,control,0,0,3,0,3,FALSE,FALSE
T009,FFXG,T009,control,0,0,3,0,3,FALSE,FALSE
T010,FFXG,T010,control,0,0,3,0,3,FALSE,FALSE
T011,FFXG,T011,control,0,0,4,0,5,FALSE,FALSE
T012,FFXG,T012,control,0,0,3,0,3,FALSE,FALSE
T126,FG,T126,control,3,0,2,2,0,TRUE,FALSE
T127,FG,T127,control,3,0,3,3,0,TRUE,FALSE
T128,FG,T128,control,3,0,3,3,0,TRUE,FALSE
T129,FG,T129,control,3,0,3,3,0,TRUE,FALSE
T130,FG,T130,control,3,0,3,3,0,TRUE,FALSE
T131,FG,T131,control,3,0,4,5,0,TRUE,FALSE
T132,FG,T132,control,3,0,2,2,0,TRUE,FALSE
T133,FG,T133,control,3,0,3,3,0,TRUE,FALSE
T134,FG,T134,control,3,0,4,5,0,TRUE,FALSE
T135,FG,T135,control,3,0,3,3,0,TRUE,FALSE
T136,FG,T136,control,3,0,0,0,0,FALSE,FALSE
T137,FG,T137,control,3,0,0,0,0,FALSE,FALSE
T047,G,T047,NA,NA,3,3,3,3,FALSE,FALSE
