"...1" "sample.1" "tissue" "treatment" "day"
"T001F" "T001F" "F" "control" 0
"T002F" "T002F" "F" "control" 0
"T003F" "T003F" "F" "control" 0
"T004F" "T004F" "F" "control" 0
"T005F" "T005F" "F" "control" 0
"T006F" "T006F" "F" "control" 0
"T007F" "T007F" "F" "control" 0
"T008F" "T008F" "F" "control" 0
"T009F" "T009F" "F" "control" 0
"T010F" "T010F" "F" "control" 0
"T011F" "T011F" "F" "control" 0
"T012F" "T012F" "F" "control" 0
"T046F" "T046F" "F" "DO" 3
"T049F" "T049F" "F" "DO" 3
"T052F" "T052F" "F" "DO" 3
"T055F" "T055F" "F" "DO" 3
"T056F" "T056F" "F" "DO" 3
"T057F" "T057F" "F" "DO" 3
"T058F" "T058F" "F" "DO" 3
"T110F" "T110F" "F" "DO" 3
"T111F" "T111F" "F" "DO" 3
"T112F" "T112F" "F" "DO" 3
