"...1" "sample.1" "tissue" "treatment" "day"
"T046F" "T046F" "F" "DO" 3
"T049F" "T049F" "F" "DO" 3
"T052F" "T052F" "F" "DO" 3
"T055F" "T055F" "F" "DO" 3
"T056F" "T056F" "F" "DO" 3
"T057F" "T057F" "F" "DO" 3
"T058F" "T058F" "F" "DO" 3
"T110F" "T110F" "F" "DO" 3
"T111F" "T111F" "F" "DO" 3
"T112F" "T112F" "F" "DO" 3
"T126F" "T126F" "F" "control" 3
"T127F" "T127F" "F" "control" 3
"T128F" "T128F" "F" "control" 3
"T129F" "T129F" "F" "control" 3
"T130F" "T130F" "F" "control" 3
"T131F" "T131F" "F" "control" 3
"T132F" "T132F" "F" "control" 3
"T133F" "T133F" "F" "control" 3
"T134F" "T134F" "F" "control" 3
"T135F" "T135F" "F" "control" 3
"T136F" "T136F" "F" "control" 3
"T137F" "T137F" "F" "control" 3
