"sample.1" "tissue" "treatment" "day"
"T014F" "F" "OA" "3"
"T015F" "F" "OA" "3"
"T016F" "F" "OA" "3"
"T017F" "F" "OA" "3"
"T019F" "F" "OA" "3"
"T021F" "F" "OA" "3"
"T023F" "F" "OA" "3"
"T025F" "F" "OA" "3"
"T026F" "F" "OA" "3"
"T027F" "F" "OA" "3"
"T118F" "F" "OA" "3"
"T119F" "F" "OA" "3"
"T126F" "F" "control" "3"
"T127F" "F" "control" "3"
"T128F" "F" "control" "3"
"T129F" "F" "control" "3"
"T130F" "F" "control" "3"
"T131F" "F" "control" "3"
"T132F" "F" "control" "3"
"T133F" "F" "control" "3"
"T134F" "F" "control" "3"
"T135F" "F" "control" "3"
"T136F" "F" "control" "3"
"T137F" "F" "control" "3"
