"...1" "sample.1" "tissue" "treatment" "day"
"T001F" "T001F" "F" "control" 0
"T001G" "T001G" "G" "control" 0
"T002F" "T002F" "F" "control" 0
"T002G" "T002G" "G" "control" 0
"T003F" "T003F" "F" "control" 0
"T003G" "T003G" "G" "control" 0
"T004F" "T004F" "F" "control" 0
"T004G" "T004G" "G" "control" 0
"T005F" "T005F" "F" "control" 0
"T005G" "T005G" "G" "control" 0
"T006F" "T006F" "F" "control" 0
"T006G" "T006G" "G" "control" 0
"T007F" "T007F" "F" "control" 0
"T007G" "T007G" "G" "control" 0
"T008F" "T008F" "F" "control" 0
"T008G" "T008G" "G" "control" 0
"T009F" "T009F" "F" "control" 0
"T009G" "T009G" "G" "control" 0
"T010F" "T010F" "F" "control" 0
"T010G" "T010G" "G" "control" 0
"T011F" "T011F" "F" "control" 0
"T011G" "T011G" "G" "control" 0
"T012F" "T012F" "F" "control" 0
"T012G" "T012G" "G" "control" 0
